dataset,modal,natoms,num_edges,avg_neighbors_directed,baseline_cold_ms,pair_cold_ms,baseline_steady_median_ms,pair_steady_median_ms,steady_speedup_baseline_over_pair,max_abs_force_diff_vs_baseline,abs_energy_diff_vs_baseline
qm9_hf,qcml,29,570,19.655172413793103,330.7601659325883,204.77692899294198,288.09449810069054,77.09701801650226,3.73677874336236,8.866190910339355e-07,0.0
oc20_s2ef_train_20m,oc20,225,8260,36.71111111111111,260.3238329757005,352.3446039762348,133.90556699596345,129.44709497969598,1.0344424262048275,1.043081283569336e-06,0.0
oc20_s2ef_val_ood_ads,oc20,225,6686,29.715555555555557,190.4498840449378,292.412627954036,110.82491301931441,107.77116601821035,1.0283354733360504,1.0207295417785645e-06,0.0
md22_buckyball_catcher,spice,148,6872,46.432432432432435,192.33625591732562,294.71996100619435,111.86800606083125,109.34565006755292,1.0230677305564513,2.384185791015625e-06,0.0
salex_train_official,omat24,132,9932,75.24242424242425,234.23856706358492,362.14633705094457,160.21483298391104,157.3263769969344,1.0183596421789647,2.0265579223632812e-06,6.103515625e-05
omol25_train_neutral,omol25_low,181,9926,54.83977900552486,250.5931929918006,368.5325450496748,158.3536259131506,155.73937294539064,1.0167860761111234,1.33514404296875e-05,0.0
oc20_s2ef_val_id,oc20,225,15230,67.68888888888888,311.93259404972196,470.9473190596327,239.16654591448605,236.2088510999456,1.012521524069769,1.7881393432617188e-06,0.0
oc22_s2ef_val_id,oc22,200,11704,58.52,267.56296295206994,409.1976589988917,187.45425203815103,185.25803403463215,1.0118549136881605,7.62939453125e-06,0.0
oc20_s2ef_train_2m,oc20,225,10738,47.724444444444444,257.83967308234423,379.7795349964872,171.55341000761837,169.55057298764586,1.0118126231287843,8.642673492431641e-07,0.0
oc20_s2ef_val_ood_both,oc20,223,11486,51.506726457399104,263.7124030152336,403.5955930594355,182.5109359342605,180.41382892988622,1.0116238706135396,1.7210841178894043e-06,0.0
oc20_s2ef_val_ood_cat,oc20,225,10270,45.644444444444446,238.70090302079916,377.74339504539967,164.27336900960654,162.4150889692828,1.0114415480243661,8.381903171539307e-07,0.0
oc22_s2ef_train,oc22,228,14238,62.44736842105263,337.0618879562244,461.3528809277341,223.99611899163574,221.79590293671936,1.009920003146064,2.2798776626586914e-06,0.0
omat24_1m_official,omat24,160,15224,95.15,306.4868150977418,473.97138201631606,240.2182810474187,237.9160310374573,1.0096767334253276,0.000244140625,0.0
salex_val_official,omat24,128,13088,102.25,278.9167918963358,430.36108394153416,208.74980802182108,207.1699700318277,1.0076258059493404,4.090368747711182e-06,0.0
oc22_s2ef_val_ood,oc22,216,18264,84.55555555555556,358.6953110061586,546.8269009143114,287.59215504396707,285.77717300504446,1.0063510392374502,1.7583370208740234e-06,6.103515625e-05
omol25_validation,omol25_low,350,17972,51.348571428571425,354.2957640020177,528.4010650357231,281.500045908615,279.8985190456733,1.0057218125640757,3.337860107421875e-06,0.0
mptrj,mpa,444,27612,62.189189189189186,481.69824201613665,734.6348509890959,431.2910840380937,429.29755605291575,1.0046436974938944,2.3543834686279297e-06,0.0
omol25_train_4m,omol25_low,350,19152,54.72,360.1860449416563,555.1531700184569,300.4566110903397,299.21587195713073,1.0041466354210875,2.6226043701171875e-06,0.0
md22_double_walled_nanotube,spice,370,24024,64.92972972972973,427.0462990971282,667.675519012846,374.2289759684354,372.7173740044236,1.0040556251718866,3.0994415283203125e-06,0.0
rmd17,spice,24,366,15.25,122.72181897424161,201.28245500382036,58.98523807991296,77.10730202961713,0.7649760337517265,1.341104507446289e-06,0.0
md22_at_at_cg_cg,spice,118,3740,31.694915254237287,147.54625398200005,233.57630602549762,64.3123680492863,84.50543298386037,0.761044181166071,2.384185791015625e-06,0.0
md22_stachyose,spice,87,3532,40.59770114942529,144.7329269722104,230.1840209402144,61.893458012491465,81.53275400400162,0.7591238486737949,1.1920928955078125e-06,0.0
phonondb_pbe,matpes_r2scan,8,208,26.0,138.0019059870392,199.02746297884732,58.900009957142174,77.59079500101507,0.7591107934436246,1.2852251529693604e-07,0.0
spice_2023,spice,89,728,8.179775280898877,124.35521301813424,205.6710299802944,60.00803294591606,79.2992259375751,0.7567291135118367,1.0728836059570312e-06,0.0
md22_at_at,spice,60,1312,21.866666666666667,123.37636307347566,209.64498107787222,59.371065930463374,78.46063410397619,0.7566987777817946,2.86102294921875e-06,0.0
md22_ac_ala3_nhme,spice,42,1142,27.19047619047619,123.8450650125742,208.09442992322147,59.02938998769969,78.33799498621374,0.7535218382610882,2.086162567138672e-06,0.0
ani1x,spice,63,2008,31.873015873015873,124.70466503873467,215.39381693582982,58.90822201035917,78.20304099004716,0.7532727789684851,1.430511474609375e-06,0.0
ani1ccx,spice,55,2042,37.127272727272725,125.12166099622846,215.3414679924026,58.92091488931328,78.45716795418411,0.7509946691387174,1.7881393432617188e-06,0.0
md22_dha,spice,56,1406,25.107142857142858,122.82786797732115,209.5007540192455,59.30872610770166,79.01060697622597,0.7506425830337876,1.430511474609375e-06,0.0
wbm_initial,matpes_pbe,100,2260,22.6,128.33622901234776,218.41399499680847,59.08465792890638,78.9471990428865,0.7484072727749317,6.705522537231445e-07,0.0
iso17,spice,19,340,17.894736842105264,122.20169499050826,200.17827209085226,58.84054594207555,80.55350091308355,0.7304529942846796,1.6689300537109375e-06,0.0
