dataset,category,status,source_kind,modal,loader,skip_reason,local_path,num_samples,max_atoms
qm9_hf,molecular,benchmarked,hf,qcml,qm9_like,,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/qm9_hf,1.0,29.0
md17_aspirin,molecular,skipped,hf,,,graph-only parquet; atomic positions unavailable,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_aspirin,,
md17_benzene,molecular,skipped,hf,,,graph-only parquet; atomic positions unavailable,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_benzene,,
md17_ethanol,molecular,skipped,hf,,,no parquet files found,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_ethanol,,
md17_malonaldehyde,molecular,skipped,hf,,,graph-only parquet; atomic positions unavailable,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_malonaldehyde,,
md17_naphthalene,molecular,skipped,hf,,,graph-only parquet; atomic positions unavailable,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_naphthalene,,
md17_salicylic_acid,molecular,skipped,hf,,,graph-only parquet; atomic positions unavailable,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_salicylic_acid,,
md17_toluene,molecular,skipped,hf,,,graph-only parquet; atomic positions unavailable,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_toluene,,
md17_uracil,molecular,skipped,hf,,,graph-only parquet; atomic positions unavailable,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_uracil,,
rmd17,molecular,benchmarked,hf,spice,colabfit,,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/rmd17,1.0,24.0
iso17,molecular,benchmarked,hf,spice,colabfit,,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/iso17,1.0,19.0
md22_at_at,molecular,benchmarked,hf,spice,colabfit,,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_at_at,1.0,60.0
