dataset,sample_id,natoms,case,model_total_ms,additive_sum_ms,residual_ms
mptrj,mp-1204603,444,e3nn_baseline,666.3316540070809,665.3934069909155,0.9382470161654055
mptrj,mp-1204603,444,e3nn_pair_full,750.1162699772976,748.4710048884153,1.6452650888822973
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_baseline,856.6564630018547,855.7308909948915,0.9255720069631934
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,426.1395999928936,424.53428206499666,1.6053179278969196
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,e3nn_baseline,156.02211200166494,155.16234381357208,0.8597681880928576
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,e3nn_pair_full,117.1088680275716,115.62489368952811,1.4839743380434953
md22_stachyose,md22_stachyose_10546,87,e3nn_baseline,175.28031900292262,174.4355869013816,0.8447321015410125
md22_stachyose,md22_stachyose_10546,87,e3nn_pair_full,119.24295302014798,117.75290279183537,1.4900502283126116
ani1x,ani1x-release_416625,63,e3nn_baseline,157.65124396421015,156.81132581084967,0.839918153360486
ani1x,ani1x-release_416625,63,e3nn_pair_full,117.39854398183525,115.90332386549562,1.495220116339624
rmd17,rmd17_azobenzene,24,e3nn_baseline,156.7290499806404,155.87456786306575,0.854482117574662
rmd17,rmd17_azobenzene,24,e3nn_pair_full,119.90548699395733,118.39464289369062,1.5108441002667092
iso17,iso17,19,e3nn_baseline,156.70107200276107,155.83705384051427,0.8640181622467935
iso17,iso17,19,e3nn_pair_full,116.34389602113517,114.90110016893595,1.442795852199211
