dataset,sample_id,case,natoms,resolved_policy,energy,num_edges_runtime,model_total_ms,graph_build_ms,pair_metadata_ms,device_transfer_ms,top_edge_embedding_ms,top_input_embedding_ms,top_interaction_other_ms,conv_weight_nn_ms,conv_tensor_product_ms,conv_scatter_ms,top_convolution_blocks_ms,top_readout_ms,top_force_output_ms,conv_weight_nn_ms_load,conv_tensor_product_ms_load,conv_scatter_ms_load,graph_build_ms_calls,pair_metadata_ms_calls,device_transfer_ms_calls,top_edge_embedding_ms_calls,top_input_embedding_ms_calls,top_interaction_other_ms_calls,conv_weight_nn_ms_calls,conv_tensor_product_ms_calls,conv_scatter_ms_calls,top_convolution_blocks_ms_calls,top_readout_ms_calls,top_force_output_ms_calls,model_total_ms_calls
mptrj,mp-1204603,e3nn_baseline,444,baseline,-2255.4287109375,28508,557.5337940244935,9.461755049414933,0.03401597496122122,0.6147899548523128,1.2713539763353765,2.0177209516987205,107.22099180566147,3.5358339664526284,196.14522100891918,10.651383956428617,212.16983010526747,4.570499120745808,757.4706319719553,285080.0,285080.0,285080.0,2,2,2,2,6,50,10,10,10,10,8,2,1
mptrj,mp-1204603,e3nn_pair_full,444,full,-2255.4287109375,28508,494.63434203062207,10.069659969303757,201.22788700973615,0.6816050154156983,1.0983480024151504,1.9919510232284665,108.26477804221213,2.3670030059292912,193.41856898972765,11.872218863572925,213.49938510684296,4.549810953903943,742.8996020462364,142540.0,285080.0,285080.0,2,2,2,2,6,50,10,20,20,10,8,2,1
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,e3nn_baseline,370,baseline,-338922.90625,24024,487.84963198704645,5.8927080244757235,0.0315570505335927,0.6837010150775313,1.4802480000071228,2.064711006823927,107.93746786657721,3.0662519857287407,181.51766498340294,9.042452904395759,195.26093499734998,4.5529609196819365,635.212711931672,240240.0,240240.0,240240.0,2,2,2,2,6,50,10,10,10,10,8,2,1
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,e3nn_pair_full,370,full,-338922.90625,24024,426.06881499523297,5.765443027485162,167.0897409785539,0.6154280272312462,1.2314369669184089,1.9611940369941294,107.02827392378822,2.097129006870091,179.10508689237759,10.132341005373746,196.4508718228899,4.537529079243541,622.7647619671188,120120.0,240240.0,240240.0,2,2,2,2,6,50,10,20,20,10,8,2,1
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,e3nn_baseline,89,baseline,-60925.50390625,728,156.54373198049143,3.09064396424219,0.03126898081973195,0.1981559908017516,1.4505970175378025,2.0444989786483347,105.76021973975003,1.0011840495280921,113.82857005810365,0.6755060167051852,116.27386807231233,4.561028035823256,47.822015010751784,7280.0,7280.0,7280.0,2,2,2,2,6,50,10,10,10,10,8,2,1
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,e3nn_pair_full,89,full,-60925.50390625,728,118.18754603154957,3.58953804243356,6.514755019452423,0.32078503863886,1.2004849850200117,2.1895800018683076,107.34431789023802,0.9493930265307426,120.98355998750776,1.0158941149711609,125.15866389730945,4.522376926615834,74.26413899520412,3640.0,7280.0,7280.0,2,2,2,2,6,50,10,20,20,10,8,2,1
md22_stachyose,md22_stachyose_10546,e3nn_baseline,87,baseline,-68594.703125,3532,174.80606300523505,1.5795130166225135,0.032494019251316786,0.3894440014846623,1.3746759505011141,1.9581199157983065,105.36817682441324,1.7657819553278387,117.52326384885237,1.813771843444556,121.95080996025354,4.56537090940401,84.06270499108359,35320.0,35320.0,35320.0,2,2,2,2,6,50,10,10,10,10,8,2,1
md22_stachyose,md22_stachyose_10546,e3nn_pair_full,87,full,-68594.703125,3532,121.85872200643644,2.256012987345457,25.96517704660073,0.3683339455164969,1.2204209924675524,2.19044805271551,106.48463078541681,1.2430811766535044,123.68513707770035,2.1037437836639583,129.4467670377344,4.531095968559384,80.47790703130886,17660.0,35320.0,35320.0,2,2,2,2,6,50,10,20,20,10,8,2,1
ani1x,ani1x-release_416625,e3nn_baseline,63,baseline,-33906.80859375,2008,157.357182004489,1.3862310443073511,0.03001699224114418,0.4272059886716306,1.3713329681195319,1.9996569608338177,105.93222285388038,1.4338569599203765,115.23458984447643,1.19764608098194,118.64056985359639,4.583461966831237,49.23382797278464,20080.0,20080.0,20080.0,2,2,2,2,6,50,10,10,10,10,8,2,1
ani1x,ani1x-release_416625,e3nn_pair_full,63,full,-33906.80859375,2008,119.9741949676536,1.8138159648515284,15.711134008597583,0.34090696135535836,1.207421999424696,2.0039809751324356,107.10091405780986,1.048215082846582,123.59575118171051,1.317275920882821,128.15319106448442,4.533788072876632,76.06192107778043,10040.0,20080.0,20080.0,2,2,2,2,6,50,10,20,20,10,8,2,1
