dataset,description,modal,sample_id,natoms,num_edges,num_pairs,avg_neighbors_directed,pair_reuse_factor,reverse_pair_fraction,baseline_edge_embedding_evals,pair_edge_embedding_evals,baseline_weight_nn_rows_total,pair_weight_nn_rows_total,baseline_tp_rows_total,pair_tp_rows_total,baseline_scatter_rows_total,pair_scatter_rows_total,baseline_cold_ms,pair_cold_ms,baseline_steady_median_ms,pair_steady_median_ms,baseline_steady_p95_ms,pair_steady_p95_ms,steady_speedup_baseline_over_pair,cold_ratio_pair_over_baseline,max_abs_force_diff_vs_baseline,abs_energy_diff_vs_baseline
mptrj,MPtrj train parquet mirror,mpa,mp-1204603,444,28508,14254,64.2072072072072,2.0,1.0,28508,14254,142540,71270,142540,142540,142540,142540,707.7357129892334,760.4868559865281,638.5161200305447,442.28358700638637,726.0705203341786,735.3205531078856,1.4436803417290835,1.074535087080023,2.5779008865356445e-06,0.0
mptrj,MPtrj train parquet mirror,mpa,mp-1204603,444,27612,13806,62.189189189189186,2.0,1.0,27612,13806,138060,69030,138060,138060,138060,138060,482.95002401573583,738.8325569918379,431.21983198216185,428.5478669917211,833.7628311477602,461.0256719752215,1.0062349277554388,1.529832322707918,1.6391277313232422e-06,0.0
mptrj,MPtrj train parquet mirror,mpa,mp-1204603,444,24168,12084,54.432432432432435,2.0,1.0,24168,12084,120840,60420,120840,120840,120840,120840,431.6704340162687,664.6920699859038,379.6218570205383,377.09722499130294,447.15895680128597,411.71663494315,1.0066949101237581,1.5398137505077614,3.0994415283203125e-06,0.0
md22_double_walled_nanotube,MD22 double-walled nanotube,spice,md22_double-walled_nanotube_1987,370,24024,12012,64.92972972972973,2.0,1.0,24024,12012,120120,60060,120120,120120,120120,120120,427.1034990088083,658.6011309991591,374.1536139859818,372.2020130371675,442.1587606018875,408.0000161193311,1.0052433917078774,1.5420176433290624,4.0531158447265625e-06,0.0
md22_double_walled_nanotube,MD22 double-walled nanotube,spice,md22_double-walled_nanotube_2001,370,24032,12016,64.95135135135135,2.0,1.0,24032,12016,120160,60080,120160,120160,120160,120160,427.5757430004887,658.033562998753,374.0854599745944,371.91870901733637,442.72716399282217,406.96666110889055,1.0058258724412734,1.5389871239678834,4.291534423828125e-06,0.0
md22_double_walled_nanotube,MD22 double-walled nanotube,spice,md22_double-walled_nanotube_2449,370,24546,12273,66.34054054054054,2.0,1.0,24546,12273,122730,61365,122730,122730,122730,122730,434.5821359893307,671.7437370098196,381.6858909558505,379.9721029936336,449.0669415448792,415.7322115963325,1.0045102994370236,1.5457233083927577,3.635883331298828e-06,0.0
spice_2023,SPICE 2023,spice,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,728,364,8.179775280898877,2.0,1.0,728,364,3640,1820,3640,3640,3640,3640,123.27719700988382,205.83270996576175,60.280116042122245,79.06705897767097,147.19082191004418,115.64130581682548,0.7623922885401078,1.6696738322924312,9.5367431640625e-07,0.0
spice_2023,SPICE 2023,spice,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_34,89,772,386,8.674157303370787,2.0,1.0,772,386,3860,1930,3860,3860,3860,3860,123.3640779973939,205.91320097446442,60.45603100210428,81.38583198888227,147.24835003144108,118.24047020054422,0.7428323766520306,1.669150406804924,1.9073486328125e-06,0.0
spice_2023,SPICE 2023,spice,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_1,89,692,346,7.775280898876405,2.0,1.0,692,346,3460,1730,3460,3460,3460,3460,123.50611400324851,205.911448050756,60.48744200961664,79.55972501076758,147.54359961953014,116.51916551054455,0.7602771628663912,1.6672166371078603,1.1920928955078125e-06,0.0
md22_stachyose,MD22 stachyose,spice,md22_stachyose_10546,87,3532,1766,40.59770114942529,2.0,1.0,3532,1766,17660,8830,17660,17660,17660,17660,145.69872996071354,233.23327297111973,63.27599397627637,84.6843880135566,164.73332699388266,121.39145501423627,0.7471978656342998,1.6007913935420657,1.5497207641601562e-06,0.0
md22_stachyose,MD22 stachyose,spice,md22_stachyose_47,87,3718,1859,42.735632183908045,2.0,1.0,3718,1859,18590,9295,18590,18590,18590,18590,148.988296976313,232.5541530153714,65.1975609944202,82.61315000709146,165.40292737772688,118.52132571511902,0.7891910790088948,1.5608887257255124,1.6093254089355469e-06,0.0
md22_stachyose,MD22 stachyose,spice,md22_stachyose_20455,87,3522,1761,40.48275862068966,2.0,1.0,3522,1761,17610,8805,17610,17610,17610,17610,143.9185159979388,229.30952499154955,61.84043100802228,81.77527197403833,163.0231317016296,117.59121929644607,0.7562240945851592,1.5933288597475095,1.8775463104248047e-06,0.0
ani1x,ANI-1x mirror,spice,ani1x-release_416625,63,2008,1004,31.873015873015873,2.0,1.0,2008,1004,10040,5020,10040,10040,10040,10040,124.09931904403493,218.53508200729266,58.585551974829286,80.37745102774352,145.69740162114613,116.88576922169887,0.72888044128953,1.760969227637329,2.6226043701171875e-06,0.0
ani1x,ANI-1x mirror,spice,ani1x-release_273723,62,1684,842,27.161290322580644,2.0,1.0,1684,842,8420,4210,8420,8420,8420,8420,122.63540603453293,211.76723804092035,58.81493404740468,77.88816496031359,146.00782318157144,114.3365639145486,0.7551202943011007,1.7268034158201324,1.430511474609375e-06,0.0
ani1x,ANI-1x mirror,spice,ani1x-release_416622,62,2086,1043,33.645161290322584,2.0,1.0,2086,1043,10430,5215,10430,10430,10430,10430,125.21456700051203,215.3514200472273,58.837119955569506,78.14433699240908,146.61908709676936,114.63631571386941,0.7529287753927061,1.7198591602073476,1.5497207641601562e-06,0.0
rmd17,rMD17 mirror,spice,rmd17_azobenzene,24,366,183,15.25,2.0,1.0,366,183,1830,915,1830,1830,1830,1830,121.41420098487288,199.8309870250523,59.200039017014205,77.37739698495716,146.33953752345406,113.21486332453787,0.7650818110167651,1.6458617311985562,1.0728836059570312e-06,0.0
rmd17,rMD17 mirror,spice,rmd17_azobenzene,24,370,185,15.416666666666666,2.0,1.0,370,185,1850,925,1850,1850,1850,1850,121.2658149888739,200.8793709683232,59.024718997534364,77.54849595949054,146.12248358898796,113.56533230282366,0.7611329951307818,1.6565210153146113,1.6689300537109375e-06,0.0
rmd17,rMD17 mirror,spice,rmd17_azobenzene,24,370,185,15.416666666666666,2.0,1.0,370,185,1850,925,1850,1850,1850,1850,121.35406996821985,201.19214698206633,59.18276001466438,78.27448204625398,146.36897663003765,113.55058053159155,0.7560926430620402,1.657893691037758,1.3113021850585938e-06,0.0
iso17,ISO17 mirror,spice,iso17,19,340,170,17.894736842105264,2.0,1.0,340,170,1700,850,1700,1700,1700,1700,121.3752279873006,199.95856803143397,58.73179598711431,77.16040598461404,146.41549841035157,113.32042686990462,0.7611649425331635,1.6474413382964395,1.430511474609375e-06,0.0
