dataset,description,modal,sample_id,natoms,num_edges,num_pairs,avg_neighbors_directed,avg_unique_pairs_per_atom,pair_reuse_factor,reverse_pair_fraction,pbc_dims,cell_volume,atom_density,longest_periodic_length,rank4_local_length_estimate,rank4_boundary_ratio_estimate,num_elements,structure_class
mptrj_val,MPtrj validation split,mpa,mp-1197409,426,28964,14482,67.9906103286385,33.99530516431925,2.0,1.0,3,5535.091482316863,0.07696349759727658,17.92674002061473,4.4816850051536825,1.0,5,bulk_like
mptrj_val,MPtrj validation split,mpa,mp-1205212,320,18408,9204,57.525,28.7625,2.0,1.0,3,4789.413357210392,0.06681402838580318,26.243162336394455,6.560790584098614,1.0,2,bulk_like
mptrj_val,MPtrj validation split,mpa,mp-1205237,300,15052,7526,50.17333333333333,25.086666666666666,2.0,1.0,3,5745.386061685849,0.05221581226727382,20.671253204345703,5.167813301086426,1.0,3,bulk_like
salex_validation,sAlex validation,mpa,sAlex__agm005259073_2_51__id_482978,168,14816,7408,88.19047619047619,44.095238095238095,2.0,1.0,3,1739.6298853264223,0.09657226598431118,15.16308029001915,3.7907700725047877,1.0,5,bulk_like
salex_validation,sAlex validation,mpa,sAlex__agm005259073_0_0__id_482977,168,14904,7452,88.71428571428571,44.357142857142854,2.0,1.0,3,1726.4630806386472,0.09730877067921663,15.107684375414086,3.7769210938535216,1.0,5,bulk_like
salex_validation,sAlex validation,mpa,sAlex__agm005273855_0_0__id_484208,156,9268,4634,59.41025641025641,29.705128205128204,2.0,1.0,3,2386.914013405957,0.06535635516144926,20.40062735,5.1001568375,1.0,3,bulk_like
omat24_validation,OMat24 rattled-1000-subsampled validation,omat24,OMat24__agm005231400_AB2C5D6_8_spg14_4_0_rattled-1000-subsampled_z8rquh__file_ix_23803,112,5140,2570,45.892857142857146,22.946428571428573,2.0,1.0,3,2185.9491775469446,0.0512363238589497,20.38847176426126,5.097117941065315,1.0,4,bulk_like
omat24_validation,OMat24 rattled-1000-subsampled validation,omat24,OMat24__agm005231400_AB2C5D6_8_spg14_1_0_rattled-1000-subsampled_i32xdf__file_ix_26036,112,4470,2235,39.910714285714285,19.955357142857142,2.0,1.0,3,2437.9333309654903,0.04594055078431732,20.171424954644106,5.0428562386610265,1.0,4,bulk_like
omat24_validation,OMat24 rattled-1000-subsampled validation,omat24,OMat24__agm003278654_A6B8C39_0_spg193_4_0_rattled-1000-subsampled_6u1x7v__file_ix_26415,106,3644,1822,34.37735849056604,17.18867924528302,2.0,1.0,3,2732.634403281711,0.03879040674914328,20.588931976570027,5.147232994142507,1.0,3,bulk_like
omol25_validation,OMol25 neutral validation,omol25_low,OMol25_neutral_validation_data0020_65,110,3826,1913,34.78181818181818,17.39090909090909,2.0,1.0,0,,,,,,5,molecule_like
omol25_validation,OMol25 neutral validation,omol25_low,OMol25_neutral_validation_data0033_190,110,3090,1545,28.09090909090909,14.045454545454545,2.0,1.0,0,,,,,,6,molecule_like
omol25_validation,OMol25 neutral validation,omol25_low,OMol25_neutral_validation_data0057_281,110,3340,1670,30.363636363636363,15.181818181818182,2.0,1.0,0,,,,,,6,molecule_like
oc20_val_id,OC20 S2EF in-domain validation,oc20,OC20_S2EF_val_id__file_0049__config_3636,225,15230,7615,67.68888888888888,33.84444444444444,2.0,1.0,3,7725.2418728221055,0.02912530166745515,33.67404733,8.4185118325,1.0,4,surface_like
oc20_val_id,OC20 S2EF in-domain validation,oc20,OC20_S2EF_val_id__file_0190__config_1269,225,15132,7566,67.25333333333333,33.626666666666665,2.0,1.0,3,7725.2418728221055,0.02912530166745515,33.67404733,8.4185118325,1.0,4,surface_like
oc20_val_id,OC20 S2EF in-domain validation,oc20,OC20_S2EF_val_id__file_0032__config_1191,225,15142,7571,67.29777777777778,33.64888888888889,2.0,1.0,3,7725.2418728221055,0.02912530166745515,33.67404733,8.4185118325,1.0,4,surface_like
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_0,200,11704,5852,58.52,29.26,2.0,1.0,3,4993.283246049814,0.040053806312353696,41.581241,10.39531025,1.0,4,surface_like
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_1,200,11460,5730,57.3,28.65,2.0,1.0,3,4993.283246049814,0.040053806312353696,41.581241,10.39531025,1.0,4,surface_like
oc22_val_id,OC22 S2EF in-domain validation,oc22,s2ef_val_id_3,200,11376,5688,56.88,28.44,2.0,1.0,3,4993.283246049814,0.040053806312353696,41.581241,10.39531025,1.0,4,surface_like
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:0,8,208,104,26.0,13.0,2.0,1.0,3,283.78308046480015,0.02819054605685804,6.571464501545973,1.6428661253864933,1.0,2,bulk_like
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:1,8,640,320,80.0,40.0,2.0,1.0,3,109.32644558721078,0.07317534158392007,4.781620185519071,1.1954050463797679,1.0,2,bulk_like
phonondb_pbe,phononDB PBE benchmark structures,matpes_r2scan,phonondb_pbe:2,8,208,104,26.0,13.0,2.0,1.0,3,306.06338948380176,0.026138376149766177,6.739129385060335,1.6847823462650837,1.0,2,bulk_like
