dataset,description,modal,sample_id,natoms,case,cold_ms,steady_median_ms,steady_p95_ms,resolved_policy,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
mptrj_val,MPtrj validation split,mpa,mp-1197409,426,e3nn_baseline,699.4415269582532,696.1453635012731,738.4172623511404,baseline,0.0,0.0
mptrj_val,MPtrj validation split,mpa,mp-1197409,426,e3nn_pair_full,773.3640850055963,613.1219475064427,759.0507325250655,full,0.0,2.9802322387695312e-06
mptrj_val,MPtrj validation split,mpa,mp-1205212,320,e3nn_baseline,349.41646800143644,515.3394140070304,719.3062385020312,baseline,0.0,0.0
mptrj_val,MPtrj validation split,mpa,mp-1205212,320,e3nn_pair_full,543.8376889796928,308.75415552873164,328.6940492806025,full,0.0,2.425163984298706e-06
mptrj_val,MPtrj validation split,mpa,mp-1205237,300,e3nn_baseline,303.30439005047083,282.9520574887283,324.47631734539755,baseline,0.0,0.0
mptrj_val,MPtrj validation split,mpa,mp-1205237,300,e3nn_pair_full,472.07407199312,258.0818235001061,279.42981582309585,full,0.0,3.6656856536865234e-06
salex_validation,sAlex validation,mpa,sAlex__agm005259073_2_51__id_482978,168,e3nn_baseline,299.12276001414284,279.9887180153746,321.51811102812644,baseline,0.0,0.0
salex_validation,sAlex validation,mpa,sAlex__agm005259073_2_51__id_482978,168,e3nn_pair_full,467.54201501607895,255.16323451302014,276.85315934650134,full,0.0,1.2936070561408997e-06
salex_validation,sAlex validation,mpa,sAlex__agm005259073_0_0__id_482977,168,e3nn_baseline,302.5373889831826,280.90685748611577,322.5263571628602,baseline,0.0,0.0
salex_validation,sAlex validation,mpa,sAlex__agm005259073_0_0__id_482977,168,e3nn_pair_full,470.88894998887554,256.0046895232517,277.61336416879203,full,0.0,1.3187527656555176e-06
salex_validation,sAlex validation,mpa,sAlex__agm005273855_0_0__id_484208,156,e3nn_baseline,225.81214498495683,201.4017779729329,247.64247387065552,baseline,0.0,0.0
