system,category,case,mode,stage,mean_ms,std_ms,num_edges,num_pairs
bulk_large,large_dense,baseline,forward_energy,conv_message_gather_ms,0.11510705420126517,0.00327733750884344,12408,0
bulk_large,large_dense,baseline,forward_energy,conv_message_tp_ms,0.6509708007797599,0.04347013907727024,12408,0
bulk_large,large_dense,baseline,forward_energy,conv_src_gather_ms,0.03826416408022245,0.002351604648228208,12408,0
bulk_large,large_dense,baseline,forward_energy,conv_weight_expand_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,conv_weight_nn_ms,0.22331713698804379,0.01923216019966873,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_attr_expand_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_attr_sign_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_embedding_expand_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_length_expand_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_length_norm_ms,0.013618419567743937,0.0012653066372159561,12408,0
bulk_large,large_dense,baseline,forward_energy,edge_pair_vec_select_ms,0.0,0.0,12408,0
bulk_large,large_dense,baseline,forward_energy,model_total_ms,3.01152461518844,0.07033414928293358,12408,0
bulk_large,large_dense,baseline,forward_energy,radial_basis_cutoff_ms,0.09521871494750182,0.010143678246046494,12408,0
bulk_large,large_dense,baseline,forward_energy,spherical_harmonics_ms,0.1248788321390748,0.025382260716839754,12408,0
bulk_large,large_dense,geometry_only,forward_energy,conv_message_gather_ms,0.11737958993762732,0.0058621049966516405,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,conv_message_tp_ms,0.6479780344913403,0.017674713549178333,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,conv_src_gather_ms,0.029620520460108917,0.003268003616170977,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,conv_weight_expand_ms,0.037269433960318565,0.004598741256924512,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,conv_weight_nn_ms,0.22160351121177277,0.008462067050425758,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_attr_expand_ms,0.009873144639035067,0.00027657309494650385,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_attr_sign_ms,0.01971456998338302,0.004304073285788445,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_embedding_expand_ms,0.0,0.0,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_length_expand_ms,0.0,0.0,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_length_norm_ms,0.012560025788843632,0.0005637204999680645,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,edge_pair_vec_select_ms,0.009608509329458078,0.00031416930345221853,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,model_total_ms,3.136192945142587,0.056050474916084406,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,radial_basis_cutoff_ms,0.08391364632795255,0.004925908477251691,12408,6204
bulk_large,large_dense,geometry_only,forward_energy,spherical_harmonics_ms,0.09420201337585847,0.006846091676681762,12408,6204
bulk_small,small_dense,baseline,forward_energy,conv_message_gather_ms,0.10812319815158844,0.00328357215071326,960,0
bulk_small,small_dense,baseline,forward_energy,conv_message_tp_ms,0.6200213062887391,0.01448654383962528,960,0
bulk_small,small_dense,baseline,forward_energy,conv_src_gather_ms,0.03404616533468167,0.006190290065254284,960,0
bulk_small,small_dense,baseline,forward_energy,conv_weight_expand_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,conv_weight_nn_ms,0.23119957962383827,0.02089395699236928,960,0
bulk_small,small_dense,baseline,forward_energy,edge_attr_expand_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,edge_attr_sign_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,edge_embedding_expand_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,edge_length_expand_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,edge_length_norm_ms,0.013166867817441622,0.0005988936354402269,960,0
bulk_small,small_dense,baseline,forward_energy,edge_pair_vec_select_ms,0.0,0.0,960,0
bulk_small,small_dense,baseline,forward_energy,model_total_ms,2.946056293634077,0.06296828797117095,960,0
bulk_small,small_dense,baseline,forward_energy,radial_basis_cutoff_ms,0.09521632455289364,0.010885433325387732,960,0
bulk_small,small_dense,baseline,forward_energy,spherical_harmonics_ms,0.12709953977415958,0.023531297962252735,960,0
bulk_small,small_dense,geometry_only,forward_energy,conv_message_gather_ms,0.10810783909012874,0.003716909106664746,960,480
bulk_small,small_dense,geometry_only,forward_energy,conv_message_tp_ms,0.618843687698245,0.012734300367036693,960,480
bulk_small,small_dense,geometry_only,forward_energy,conv_src_gather_ms,0.02384220715612173,0.0002041986377709289,960,480
bulk_small,small_dense,geometry_only,forward_energy,conv_weight_expand_ms,0.032091823716958366,0.00040227124598013215,960,480
bulk_small,small_dense,geometry_only,forward_energy,conv_weight_nn_ms,0.22827244829386473,0.003796849538299375,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_attr_expand_ms,0.009520755459864935,0.0008319424925031054,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_attr_sign_ms,0.01860267948359251,0.0003933012165991132,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_embedding_expand_ms,0.0,0.0,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_length_expand_ms,0.0,0.0,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_length_norm_ms,0.012552544164160887,0.0006624122375083715,960,480
bulk_small,small_dense,geometry_only,forward_energy,edge_pair_vec_select_ms,0.009501081270476183,0.00015592868145038917,960,480
bulk_small,small_dense,geometry_only,forward_energy,model_total_ms,3.040424268692732,0.05300339734581295,960,480
bulk_small,small_dense,geometry_only,forward_energy,radial_basis_cutoff_ms,0.08186985893795888,0.0010024480135083318,960,480
bulk_small,small_dense,geometry_only,forward_energy,spherical_harmonics_ms,0.0923996636023124,0.004485167138619658,960,480
dimer_small,small_sparse,baseline,forward_energy,conv_message_gather_ms,0.10495816823095083,0.003539671438995399,2,0
dimer_small,small_sparse,baseline,forward_energy,conv_message_tp_ms,0.5927376061057051,0.011133350110279817,2,0
dimer_small,small_sparse,baseline,forward_energy,conv_src_gather_ms,0.0340252493818601,0.007368525880474094,2,0
dimer_small,small_sparse,baseline,forward_energy,conv_weight_expand_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,conv_weight_nn_ms,0.2090279090528687,0.009113034741946791,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_attr_expand_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_attr_sign_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_embedding_expand_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_length_expand_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_length_norm_ms,0.012943862626949946,0.0003600391977460738,2,0
dimer_small,small_sparse,baseline,forward_energy,edge_pair_vec_select_ms,0.0,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,model_total_ms,2.7892540752266846,0.045407478124747824,2,0
dimer_small,small_sparse,baseline,forward_energy,radial_basis_cutoff_ms,0.08938178264846404,0.007664346279256181,2,0
dimer_small,small_sparse,baseline,forward_energy,spherical_harmonics_ms,0.11033661818752687,0.024378729987905846,2,0
dimer_small,small_sparse,geometry_only,forward_energy,conv_message_gather_ms,0.1058365140731136,0.001100430149936835,2,1
dimer_small,small_sparse,geometry_only,forward_energy,conv_message_tp_ms,0.5947611527517438,0.009733776531761343,2,1
dimer_small,small_sparse,geometry_only,forward_energy,conv_src_gather_ms,0.023853483920296032,0.0003793334683210024,2,1
dimer_small,small_sparse,geometry_only,forward_energy,conv_weight_expand_ms,0.03230117727071047,0.0017392485094260386,2,1
dimer_small,small_sparse,geometry_only,forward_energy,conv_weight_nn_ms,0.2149974306424459,0.0026815281991860746,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_attr_expand_ms,0.009133511533339819,0.00014750602077819087,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_attr_sign_ms,0.01792986101160447,0.0002097266938696329,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_embedding_expand_ms,0.0,0.0,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_length_expand_ms,0.0,0.0,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_length_norm_ms,0.012158571432034174,0.0006971589864846764,2,1
dimer_small,small_sparse,geometry_only,forward_energy,edge_pair_vec_select_ms,0.009746290743350983,0.0006921703864938027,2,1
dimer_small,small_sparse,geometry_only,forward_energy,model_total_ms,2.921152456353108,0.028389192269086063,2,1
dimer_small,small_sparse,geometry_only,forward_energy,radial_basis_cutoff_ms,0.0813261450578769,0.0010126578547928313,2,1
dimer_small,small_sparse,geometry_only,forward_energy,spherical_harmonics_ms,0.07939684049536784,0.0007698878862666775,2,1
