epoch,lr,trainset_Energy_RMSE,trainset_Force_RMSE,trainset_Energy_MAE,trainset_Force_MAE,trainset_TotalLoss,validset_Energy_RMSE,validset_Force_RMSE,validset_Energy_MAE,validset_Force_MAE,validset_TotalLoss,testset_Energy_RMSE,testset_Force_RMSE,testset_Energy_MAE,testset_Force_MAE,testset_TotalLoss,lmax
1,0.003,0.03156,2.199315,0.022375,0.945618,0.162229,0.021294,1.984259,0.018493,0.850112,0.131696,0.021874,1.984851,0.018884,0.86439,0.1318,1
2,0.00294,0.015333,1.270019,0.012162,0.506972,0.054,0.009014,0.896737,0.007535,0.369147,0.026886,0.010144,0.937984,0.008459,0.37634,0.02943,1
3,0.002881,0.008561,0.807718,0.006673,0.326643,0.02182,0.006484,0.674035,0.005119,0.276448,0.015186,0.006713,0.710835,0.005505,0.285443,0.016888,1
4,0.002824,0.007079,0.599509,0.005551,0.238626,0.01203,0.008054,0.534698,0.00635,0.213747,0.009595,0.007801,0.559442,0.006183,0.220948,0.010493,1
5,0.002767,0.007509,0.505638,0.005928,0.200823,0.008579,0.012467,0.476793,0.011322,0.190282,0.007733,0.012119,0.502297,0.011066,0.198154,0.008557,1
6,0.002712,0.007658,0.462931,0.006165,0.184721,0.007202,0.00558,0.446718,0.004176,0.178156,0.006683,0.00518,0.469145,0.00395,0.185396,0.007363,1
7,0.002658,0.007735,0.434354,0.006165,0.174306,0.006349,0.0048,0.414858,0.003605,0.167101,0.00576,0.004531,0.438167,0.003462,0.173839,0.00642,1
8,0.002604,0.007057,0.407777,0.00569,0.164817,0.005593,0.004364,0.394286,0.003423,0.161337,0.005201,0.004163,0.415082,0.003263,0.167249,0.00576,1
9,0.002552,0.00637,0.384326,0.005128,0.156452,0.004964,0.003949,0.368695,0.00311,0.150662,0.004547,0.003867,0.389469,0.003025,0.157317,0.005071,1
10,0.002501,0.005416,0.363455,0.004331,0.148906,0.004433,0.003925,0.348769,0.003168,0.143564,0.00407,0.003857,0.368547,0.003083,0.14935,0.004542,1
11,0.002451,0.00607,0.349516,0.004984,0.144157,0.004109,0.005575,0.338101,0.004815,0.142078,0.003841,0.005544,0.359113,0.004813,0.14974,0.004329,1
12,0.002402,0.005405,0.333256,0.004298,0.138311,0.003731,0.004292,0.319581,0.003649,0.13324,0.003423,0.004309,0.337861,0.003583,0.139216,0.003824,1
13,0.002354,0.006002,0.322459,0.004949,0.134258,0.003502,0.003385,0.306339,0.002573,0.128186,0.00314,0.003549,0.324195,0.002746,0.133778,0.003516,1
14,0.002307,0.006767,0.311032,0.005584,0.130271,0.00327,0.008259,0.302178,0.007693,0.126339,0.003112,0.00831,0.318142,0.00767,0.131718,0.003443,1
15,0.002261,0.005982,0.304626,0.004943,0.127693,0.003129,0.003308,0.290465,0.002759,0.122317,0.002823,0.003526,0.306315,0.00294,0.127679,0.00314,1
1,0.003,0.02235,2.204729,0.0158,0.945239,0.162527,0.014926,2.030581,0.012292,0.855384,0.137665,0.015476,2.030758,0.012298,0.869717,0.137705,2
2,0.00294,0.014021,1.421913,0.011266,0.557564,0.067591,0.021688,0.864018,0.020792,0.339755,0.025355,0.021278,0.915732,0.020205,0.349415,0.028405,2
3,0.002881,0.01007,0.757274,0.007988,0.296549,0.019217,0.005627,0.625834,0.004297,0.252426,0.013087,0.006357,0.66493,0.005214,0.264028,0.014778,2
4,0.002824,0.007495,0.59662,0.006064,0.240918,0.011921,0.007613,0.541829,0.006371,0.220118,0.009844,0.008413,0.584678,0.007349,0.235063,0.011466,2
5,0.002767,0.009647,0.504042,0.007774,0.204867,0.008562,0.015796,0.454047,0.01523,0.183741,0.007121,0.016206,0.489127,0.01548,0.195572,0.008237,2
6,0.002712,0.008239,0.424569,0.006689,0.173534,0.006077,0.00412,0.394786,0.003082,0.16165,0.005212,0.004723,0.4204,0.00384,0.168824,0.005914,2
7,0.002658,0.00732,0.365408,0.005903,0.14827,0.004504,0.006161,0.339338,0.005246,0.136717,0.003876,0.00596,0.361914,0.004905,0.142948,0.004402,2
8,0.002604,0.004692,0.324797,0.003679,0.130628,0.003538,0.004396,0.310721,0.003705,0.125672,0.003238,0.005373,0.330449,0.004492,0.130647,0.003669,2
9,0.002552,0.004798,0.301601,0.003805,0.120529,0.003055,0.003143,0.293155,0.002473,0.116022,0.002875,0.003463,0.309339,0.002806,0.119969,0.003202,2
10,0.002501,0.004967,0.287292,0.003942,0.11446,0.002776,0.00315,0.285484,0.002584,0.113852,0.002727,0.004036,0.299218,0.003349,0.116904,0.003001,2
11,0.002451,0.004065,0.275228,0.003245,0.109136,0.002542,0.004403,0.264348,0.003747,0.104984,0.002349,0.004103,0.279908,0.003297,0.108517,0.002628,2
12,0.002402,0.004204,0.262191,0.003308,0.103967,0.002309,0.00323,0.253546,0.002611,0.101308,0.002153,0.003235,0.266621,0.002574,0.103248,0.00238,2
13,0.002354,0.003885,0.251838,0.003066,0.100381,0.002129,0.002408,0.243646,0.001916,0.097425,0.001985,0.003133,0.258187,0.00256,0.099946,0.002232,2
14,0.002307,0.003939,0.241265,0.003174,0.096022,0.001956,0.00449,0.235841,0.00394,0.092954,0.001874,0.004115,0.247269,0.003405,0.095735,0.002055,2
15,0.002261,0.0042,0.23259,0.003413,0.092811,0.001821,0.002253,0.224526,0.001726,0.090708,0.001685,0.002718,0.237524,0.002225,0.093822,0.001888,2
1,0.003,0.019324,2.11524,0.015833,0.909964,0.149515,0.01938,1.46175,0.017159,0.637295,0.071599,0.01966,1.479124,0.017096,0.653148,0.073314,3
