quadrant,dataset,lmax,stage_group,mean_ms,std_ms
large_dense,mptrj,1,force_output_ms,2.6680119646092257,0.031515960676319545
large_dense,mptrj,1,gather_total_ms,0.1583685167133808,0.008771489384931226
large_dense,mptrj,1,model_total_ms,5.279673022838931,0.07810542281969052
large_dense,mptrj,1,other_ms,1.3840826538701851,0.04648042033016345
large_dense,mptrj,1,radial_total_ms,0.09887564616898696,0.0051501364834398156
large_dense,mptrj,1,spherical_harmonics_ms,0.10255908127874136,0.026711692418107696
large_dense,mptrj,1,tp_total_ms,0.631551273788015,0.009106007423752338
large_dense,mptrj,1,weight_nn_total_ms,0.2362238864103953,0.008226792813323827
large_dense,mptrj,2,force_output_ms,4.122266072469453,0.07168820166814771
large_dense,mptrj,2,gather_total_ms,0.20707516620556513,0.003136601611819424
large_dense,mptrj,2,model_total_ms,7.375753135420382,0.09485607375356062
large_dense,mptrj,2,other_ms,1.656759879551828,0.037049693896840305
large_dense,mptrj,2,radial_total_ms,0.10344365922113259,0.009421971934218187
large_dense,mptrj,2,spherical_harmonics_ms,0.16286307169745365,0.04236970955708553
large_dense,mptrj,2,tp_total_ms,0.8679833884040514,0.02116295026903694
large_dense,mptrj,2,weight_nn_total_ms,0.25536189787089825,0.006757446705952029
large_dense,mptrj,3,force_output_ms,11.445974434415499,0.04791624347765976
large_dense,mptrj,3,gather_total_ms,0.41520996019244194,0.008192455686661772
large_dense,mptrj,3,model_total_ms,16.820161937115092,0.1550063007927472
large_dense,mptrj,3,other_ms,1.951711803364257,0.0805850712522794
large_dense,mptrj,3,radial_total_ms,0.10086467179159324,0.0076218055209689725
large_dense,mptrj,3,spherical_harmonics_ms,0.2471494721248746,0.04735625022879264
large_dense,mptrj,3,tp_total_ms,2.3886973271146417,0.01749649079008438
large_dense,mptrj,3,weight_nn_total_ms,0.27055426811178523,0.009511804420367007
large_dense,mptrj,4,force_output_ms,35.99939098736892,0.040378562894176295
large_dense,mptrj,4,gather_total_ms,0.7394454131523768,0.008234687607635653
large_dense,mptrj,4,model_total_ms,45.88193523231894,0.1658136531928178
large_dense,mptrj,4,other_ms,2.359244079949955,0.08263387520601252
large_dense,mptrj,4,radial_total_ms,0.10024358828862508,0.005940974801785782
large_dense,mptrj,4,spherical_harmonics_ms,0.4816697211936116,0.050064311061094637
large_dense,mptrj,4,tp_total_ms,5.867819348350167,0.016075537813710565
large_dense,mptrj,4,weight_nn_total_ms,0.3341220940152804,0.08642825248584395
large_dense,mptrj,5,force_output_ms,94.01493687958767,0.107211172041443
large_dense,mptrj,5,gather_total_ms,1.2719810319443543,0.006628140417526176
large_dense,mptrj,5,model_total_ms,112.29404060480495,0.31235567788658286
large_dense,mptrj,5,other_ms,2.791809857202073,0.18740466110255405
large_dense,mptrj,5,radial_total_ms,0.10707613546401262,0.009089594146768187
large_dense,mptrj,5,spherical_harmonics_ms,0.8082804114868244,0.09327438702656428
large_dense,mptrj,5,tp_total_ms,12.924089872588715,0.024824220858669293
large_dense,mptrj,5,weight_nn_total_ms,0.37586641653130454,0.009568755975076462
large_dense,mptrj,6,force_output_ms,215.93251468924186,0.06882574561452544
large_dense,mptrj,6,gather_total_ms,2.136693258459369,0.007419691589326477
large_dense,mptrj,6,model_total_ms,249.01852870825678,0.2384018666990041
large_dense,mptrj,6,other_ms,3.3435051407044134,0.166441087007345
large_dense,mptrj,6,radial_total_ms,0.10994179174304008,0.0055480431820032336
large_dense,mptrj,6,spherical_harmonics_ms,1.2607427236313622,0.1378575673995232
large_dense,mptrj,6,tp_total_ms,25.734109811795253,0.02360926171607987
large_dense,mptrj,6,weight_nn_total_ms,0.5010212926814953,0.01083481306268628
large_dense,mptrj,7,force_output_ms,450.9561479324475,0.16528437030261095
large_dense,mptrj,7,gather_total_ms,3.5064879649629197,0.01222503970321651
large_dense,mptrj,7,model_total_ms,507.97354977888364,0.5198657647880417
large_dense,mptrj,7,other_ms,4.061664633142452,0.31301701403192284
large_dense,mptrj,7,radial_total_ms,0.11717087278763454,0.010297554668606037
large_dense,mptrj,7,spherical_harmonics_ms,1.8364458655317624,0.26177070147906784
large_dense,mptrj,7,tp_total_ms,46.92279410082847,0.033945856695789284
large_dense,mptrj,7,weight_nn_total_ms,0.5728384091829261,0.017187884661052026
large_dense,mptrj,8,force_output_ms,867.2317611829689,0.2666821339718178
large_dense,mptrj,8,gather_total_ms,5.449069136132796,0.019547025439823458
large_dense,mptrj,8,model_total_ms,961.991603152516,0.717566992916397
large_dense,mptrj,8,other_ms,4.932504512059192,0.38072368665263184
large_dense,mptrj,8,radial_total_ms,0.12005303675929706,0.0063816378700999234
large_dense,mptrj,8,spherical_harmonics_ms,2.4942813518767557,0.40408430843126114
large_dense,mptrj,8,tp_total_ms,81.05789370213945,0.04373001652168827
large_dense,mptrj,8,weight_nn_total_ms,0.7060402305796742,0.013762893339753706
large_sparse,oc20_s2ef_train_20m,1,force_output_ms,2.753500958594183,0.15205744646170194
large_sparse,oc20_s2ef_train_20m,1,gather_total_ms,0.14227537903934717,0.005974431176147733
large_sparse,oc20_s2ef_train_20m,1,model_total_ms,5.107740258487563,0.16612959642444453
large_sparse,oc20_s2ef_train_20m,1,other_ms,1.3599609956145287,0.030176325641574353
large_sparse,oc20_s2ef_train_20m,1,radial_total_ms,0.09935353882610798,0.008051403085723025
large_sparse,oc20_s2ef_train_20m,1,spherical_harmonics_ms,0.10205477786560853,0.027932187350224014
large_sparse,oc20_s2ef_train_20m,1,tp_total_ms,0.4319026755789916,0.012794713624707908
large_sparse,oc20_s2ef_train_20m,1,weight_nn_total_ms,0.2186919329687953,0.006726531849178401
