dataset,sample_id,modal,natoms,case,repeat_idx_mean,edge_length_norm_ms_mean,edge_length_norm_ms_load_mean,radial_basis_ms_mean,radial_basis_ms_load_mean,cutoff_ms_mean,cutoff_ms_load_mean,radial_combine_ms_mean,radial_combine_ms_load_mean,spherical_harmonics_ms_mean,spherical_harmonics_ms_load_mean,pair_expand_ms_mean,pair_expand_ms_load_mean,conv_weight_nn_ms_mean,conv_weight_nn_ms_load_mean,pair_indexing_ms_mean,pair_indexing_ms_load_mean,conv_src_gather_ms_mean,conv_src_gather_ms_load_mean,conv_filter_gather_ms_mean,conv_filter_gather_ms_load_mean,conv_message_tp_ms_mean,conv_message_tp_ms_load_mean,flash_fused_conv_ms_mean,flash_fused_conv_ms_load_mean,conv_aggregation_ms_mean,conv_aggregation_ms_load_mean,conv_denominator_ms_mean,conv_denominator_ms_load_mean,top_input_embedding_ms_mean,top_input_embedding_ms_load_mean,top_interaction_other_ms_mean,top_interaction_other_ms_load_mean,top_readout_ms_mean,top_readout_ms_load_mean,top_force_output_ms_mean,top_force_output_ms_load_mean,model_total_ms_mean,model_total_ms_load_mean,other_ms_mean,other_ms_load_mean,repeat_idx_std,edge_length_norm_ms_std,edge_length_norm_ms_load_std,radial_basis_ms_std,radial_basis_ms_load_std,cutoff_ms_std,cutoff_ms_load_std,radial_combine_ms_std,radial_combine_ms_load_std,spherical_harmonics_ms_std,spherical_harmonics_ms_load_std,pair_expand_ms_std,pair_expand_ms_load_std,conv_weight_nn_ms_std,conv_weight_nn_ms_load_std,pair_indexing_ms_std,pair_indexing_ms_load_std,conv_src_gather_ms_std,conv_src_gather_ms_load_std,conv_filter_gather_ms_std,conv_filter_gather_ms_load_std,conv_message_tp_ms_std,conv_message_tp_ms_load_std,flash_fused_conv_ms_std,flash_fused_conv_ms_load_std,conv_aggregation_ms_std,conv_aggregation_ms_load_std,conv_denominator_ms_std,conv_denominator_ms_load_std,top_input_embedding_ms_std,top_input_embedding_ms_load_std,top_interaction_other_ms_std,top_interaction_other_ms_load_std,top_readout_ms_std,top_readout_ms_load_std,top_force_output_ms_std,top_force_output_ms_load_std,model_total_ms_std,model_total_ms_load_std,other_ms_std,other_ms_load_std
ani1ccx,055:0,spice,55,e3nn_baseline,2.0,0.02343086525797844,2042.0,0.041111232712864876,2042.0,0.08885380811989307,2042.0,0.008734920993447304,16336.0,24.4429973885417,2042.0,0.0,0.0,0.5093983374536037,10210.0,0.0,0.0,0.11025485582649708,10210.0,0.0,0.0,62.81259744428098,10210.0,0.0,0.0,0.588203826919198,10210.0,0.05640387535095215,0.0,0.979599729180336,0.0,60.896633146330714,0.0,2.8422020841389894,0.0,28.0588093213737,0.0,182.3209878988564,0.0,64.36397391371429,0.0,1.4142135623730951,0.00044972311107687894,0.0,0.001702206479899255,0.0,0.005688752154903623,0.0,0.00019185495950015225,0.0,48.4431855016426,0.0,0.0,0.0,0.005543730699572513,0.0,0.0,0.0,0.001628063150470708,0.0,0.0,0.0,0.6968303584581804,0.0,0.0,0.0,0.002698063376776616,0.0,0.0018272172690414062,0.0,0.027265865041355194,0.0,0.27283663684209924,0.0,0.036949824767648805,0.0,2.827023848639735,0.0,52.15912871585737,0.0,0.7070662356805367,0.0
ani1ccx,055:0,spice,55,e3nn_pair_full,2.0,0.019905157387256622,1021.0,0.0398742500692606,1021.0,0.08486658334732056,1021.0,0.008947541937232018,8168.0,29.33977716602385,1021.0,0.08725556544959545,72491.0,0.4927664529532194,5105.0,0.3015641123056412,25525.0,0.1297762617468834,10210.0,0.08082622662186623,10210.0,8.326437138020992,10210.0,0.0,0.0,0.6556631997227669,10210.0,0.05319518968462944,0.0,1.0071816388517618,0.0,60.93950602225959,0.0,2.7928170282393694,0.0,69.22944062389433,0.0,175.0757216475904,0.0,10.89178747497499,0.0,1.4142135623730951,0.00029273055251700643,0.0,0.0016646248229689848,0.0,0.001689666366576895,0.0,0.0002013319088769969,0.0,58.197373621451604,0.0,0.01833811198169535,0.0,0.009325021298053446,0.0,0.0017969422174375237,0.0,0.0017907557515644047,0.0,0.00021621090342134781,0.0,0.03867971657142531,0.0,0.0,0.0,0.009906949326569594,0.0,0.002592520488843859,0.0,0.041932453226056286,0.0,0.25089069442754935,0.0,0.015113792250825804,0.0,58.645311521804416,0.0,116.69743738852938,0.0,0.051650033750700576,0.0
ani1ccx,055:0,spice,55,flash_baseline,2.0,0.022076256573200226,2042.0,0.0380008015781641,2042.0,0.08081793785095215,2042.0,0.008497852832078934,16336.0,0.24141077883541584,2042.0,0.0,0.0,0.49449740909039974,10210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.132336212322116,10210.0,0.0,0.0,0.0641755759716034,0.0,1.0133211966603994,0.0,60.29562121257186,0.0,2.792444033548236,0.0,15.237119840458035,0.0,82.23361680284142,0.0,1.9498495385050774,0.0,1.4142135623730951,0.0003707022845077236,0.0,0.0008547423608811476,0.0,0.00200719497973344,0.0,0.00026270928542426573,0.0,0.04390404257059563,0.0,0.0,0.0,0.005910903124968796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026786721937217713,0.0,0.0,0.0,0.009447251095355087,0.0,0.09489780965172025,0.0,0.2570383218120334,0.0,0.01994575189245188,0.0,0.06527620728045225,0.0,0.4235068586211392,0.0,0.02879384661455301,0.0
ani1ccx,055:0,spice,55,flash_pair_auto,2.0,0.018753623589873314,1021.0,0.03826059401035309,1021.0,0.08010342717170715,1021.0,0.00872262753546238,8168.0,0.22896165028214455,1021.0,0.074018444865942,72491.0,0.4822199698537588,5105.0,0.18895003013312817,10210.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1453050654381514,10210.0,0.0,0.0,0.06059822626411915,0.0,1.0121020954102278,0.0,60.670329350978136,0.0,2.7860939502716064,0.0,15.35307583399117,0.0,83.10885806567967,0.0,2.227124897763133,0.0,1.4142135623730951,0.00012734992541283603,0.0,0.0003975751604401478,0.0,0.0007953469513873144,0.0,0.00018043570322704246,0.0,0.001549351118219274,0.0,0.0006203706923621418,0.0,0.01178829223514314,0.0,0.006124679185555889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019453389175196765,0.0,0.0,0.0,0.0004981592479055349,0.0,0.07280182737399944,0.0,0.3127686476016149,0.0,0.01048875339650701,0.0,0.19747057037938562,0.0,0.44856893363435074,0.0,0.03751972322067118,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,2.0,0.023649539798498154,2008.0,0.0395740382373333,2008.0,0.0849040225148201,2008.0,0.008663535118103027,16064.0,46.14195944741368,2008.0,0.0,0.0,0.5179846659302711,10040.0,0.0,0.0,0.10997881181538105,10040.0,0.0,0.0,62.502892687916756,10040.0,0.0,0.0,0.6068528164178133,10040.0,0.05836370401084423,0.0,0.9882419370114803,0.0,60.758499428629875,0.0,2.8089372906833887,0.0,60.03812085837126,0.0,235.55820742622018,0.0,64.08781744539738,0.0,1.4142135623730951,0.0018692149112150712,0.0,0.0005422051211386806,0.0,0.003249281012042513,0.0,6.499647469967513e-05,0.0,91.71863392545772,0.0,0.0,0.0,0.013669846969844938,0.0,0.0,0.0,0.0032730567320913783,0.0,0.0,0.0,0.20201283411234977,0.0,0.0,0.0,0.018033332194090354,0.0,0.002726914818032519,0.0,0.07084816379008274,0.0,0.06914877962576987,0.0,0.005505071810139294,0.0,66.77165097989015,0.0,158.76925495959915,0.0,0.23930150565220504,0.0
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,2.0,0.019719591364264488,1004.0,0.039167795330286026,1004.0,0.08502057753503323,1004.0,0.009057391434907913,8032.0,0.2913418225944042,1004.0,0.08043460547924042,71284.0,0.48352470621466637,5020.0,0.30157375149428844,25100.0,0.12683109380304813,10040.0,0.08187033236026764,10040.0,8.360162936151028,10040.0,0.0,0.0,0.652386574074626,10040.0,0.05254894495010376,0.0,1.008765073493123,0.0,60.9829219058156,0.0,2.8122736141085625,0.0,40.4080156236887,0.0,117.26794014684856,0.0,10.905662132427096,0.0,1.4142135623730951,0.0007210270712372801,0.0,0.0006464547680596144,0.0,0.0013501282583505156,0.0,0.00022430722951892942,0.0,0.007308473801807156,0.0,0.004030265514338028,0.0,0.004128207245993552,0.0,0.007231224446245671,0.0,0.0007941565484523019,0.0,0.0015065791628467008,0.0,0.06772520668181456,0.0,0.0,0.0,0.0024282936130929043,0.0,0.00035718202929352035,0.0,0.01860429416588774,0.0,0.11693168861846513,0.0,0.0320101690322948,0.0,0.2358766018357001,0.0,0.3907145213369896,0.0,0.0806670711273746,0.0
ani1x,ani1x-release_416625,spice,63,flash_baseline,2.0,0.02231425605714321,2008.0,0.038167042657732964,2008.0,0.08015744388103485,2008.0,0.008815620094537735,16064.0,0.27226516976952553,2008.0,0.0,0.0,0.49693183973431587,10040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.117576751857996,10040.0,0.0,0.0,0.06031356751918793,0.0,0.9427709504961967,0.0,60.100448271259665,0.0,2.7929619885981083,0.0,15.439589135348797,0.0,82.17696296051145,0.0,1.933685876429081,0.0,1.4142135623730951,0.00043774875628979165,0.0,0.0007262762875859465,0.0,0.001885666686982787,0.0,0.00020675808983527374,0.0,0.0016145248907655032,0.0,0.0,0.0,0.007431771286514043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021989641636069406,0.0,0.0,0.0,0.0008604330122039412,0.0,0.005796774098669479,0.0,0.3464780663432321,0.0,0.01359333573271551,0.0,0.05196764827784006,0.0,0.3904595290400969,0.0,0.03423831805720961,0.0
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,2.0,0.018568849191069603,1004.0,0.03800857812166214,1004.0,0.0804513692855835,1004.0,0.008764676749706268,8032.0,0.28840345330536366,1004.0,0.0796477310359478,71284.0,0.4818994551897049,5020.0,0.1843998208642006,10040.0,0.0,0.0,0.0,0.0,0.0,0.0,1.137221371755004,10040.0,0.0,0.0,0.06133886054158211,0.0,1.0876986663788557,0.0,60.59900498948991,0.0,2.8063740581274033,0.0,15.448321588337421,0.0,83.28235079534352,0.0,2.215512515977025,0.0,1.4142135623730951,0.00023743253958761804,0.0,0.0004453551930083363,0.0,0.0009684636900526373,0.0,0.00015856030089961143,0.0,0.011464377264760586,0.0,0.004665048487817074,0.0,0.016286295157369124,0.0,0.0020502911668084864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02618316105257028,0.0,0.0,0.0,0.0007833600565884581,0.0,0.04820904786790495,0.0,0.0629876021698024,0.0,0.026265032469486253,0.0,0.15131454771018737,0.0,0.16058245952212494,0.0,0.02939839420276764,0.0
iso17,iso17,spice,19,e3nn_baseline,2.0,0.022292044013738632,340.0,0.0402617733925581,340.0,0.08130762726068497,340.0,0.00882917083799839,2720.0,0.29521877877414227,340.0,0.0,0.0,0.4595210775732994,1700.0,0.0,0.0,0.07031154818832874,1700.0,0.0,0.0,61.96605316363275,1700.0,0.0,0.0,0.2577229402959347,1700.0,0.052039045840501785,0.0,0.967433163896203,0.0,60.64741690643132,0.0,2.8039634693413973,0.0,27.561955992132425,0.0,156.08905097469687,0.0,63.09494352899492,0.0,1.4142135623730951,0.0004700125531701865,0.0,0.0021203316611011222,0.0,0.0014328173876630326,0.0,0.0002950861077234799,0.0,0.01561475596872556,0.0,0.0,0.0,0.0030852121179441357,0.0,0.0,0.0,0.0012458426423444867,0.0,0.0,0.0,0.20524944817931692,0.0,0.0,0.0,0.0024269895272528313,0.0,0.00041512451447415637,0.0,0.0201287758687934,0.0,0.11528545873170211,0.0,0.009060102595314415,0.0,0.07366584324127935,0.0,0.3366008147965845,0.0,0.20597476599485065,0.0
iso17,iso17,spice,19,e3nn_pair_full,2.0,0.018930062651634216,170.0,0.039394572377204895,170.0,0.08128713816404343,170.0,0.008557597175240517,1360.0,0.2868301700800657,170.0,0.07576942443847656,12070.0,0.465275626629591,850.0,0.238453084602952,4250.0,0.09554415009915829,1700.0,0.07937625050544739,1700.0,8.186918450519443,1700.0,0.0,0.0,0.4515804350376129,1700.0,0.04928945563733578,0.0,0.9663848672062159,0.0,61.005056742578745,0.0,2.7948590461164713,0.0,41.084810672327876,0.0,117.39093018695712,0.0,10.399750526994467,0.0,1.4142135623730951,0.00047962868458973734,0.0,0.002444594982562698,0.0,0.0009755942217814141,0.0,0.0002147127081917365,0.0,0.002169784999943833,0.0,0.001666530220738277,0.0,0.002271590878216499,0.0,0.008021312348562147,0.0,0.0005925131201088301,0.0,0.0005461305991558894,0.0,0.07270767968239071,0.0,0.0,0.0,0.01335947271826245,0.0,0.0008228458366240859,0.0,0.010739384851910418,0.0,0.35581921497412666,0.0,0.014031347067391188,0.0,0.6104055320811264,0.0,0.9450730664839152,0.0,0.08592194625385045,0.0
