dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
iso17,iso17,spice,19,e3nn_baseline,spherical_harmonics_ms,0.29521877877414227,0.01561475596872556,0.0018913484125289435
iso17,iso17,spice,19,e3nn_baseline,radial_basis_ms,0.0402617733925581,0.0021203316611011222,0.00025794104801806254
iso17,iso17,spice,19,e3nn_baseline,cutoff_ms,0.08130762726068497,0.0014328173876630326,0.0005209053854383771
iso17,iso17,spice,19,e3nn_baseline,conv_weight_nn_ms,0.4595210775732994,0.0030852121179441357,0.002943967400043908
iso17,iso17,spice,19,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
iso17,iso17,spice,19,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
iso17,iso17,spice,19,e3nn_baseline,conv_src_gather_ms,0.07031154818832874,0.0012458426423444867,0.00045045791328263466
iso17,iso17,spice,19,e3nn_baseline,conv_filter_gather_ms,0.0,0.0,0.0
iso17,iso17,spice,19,e3nn_baseline,conv_message_tp_ms,61.96605316363275,0.20524944817931692,0.39699167095120513
iso17,iso17,spice,19,e3nn_baseline,flash_fused_conv_ms,0.0,0.0,0.0
iso17,iso17,spice,19,e3nn_baseline,conv_aggregation_ms,0.2577229402959347,0.0024269895272528313,0.0016511276011135039
iso17,iso17,spice,19,e3nn_baseline,top_force_output_ms,27.561955992132425,0.07366584324127935,0.17657840713376116
iso17,iso17,spice,19,e3nn_baseline,other_ms,63.09494352899492,0.20597476599485065,0.4042240191416312
iso17,iso17,spice,19,e3nn_baseline,model_total_ms,156.08905097469687,0.3366008147965845,1.0
iso17,iso17,spice,19,e3nn_pair_full,spherical_harmonics_ms,0.2868301700800657,0.002169784999943833,0.0024433759032598105
iso17,iso17,spice,19,e3nn_pair_full,radial_basis_ms,0.039394572377204895,0.002444594982562698,0.00033558446393145525
iso17,iso17,spice,19,e3nn_pair_full,cutoff_ms,0.08128713816404343,0.0009755942217814141,0.0006924481988053533
iso17,iso17,spice,19,e3nn_pair_full,conv_weight_nn_ms,0.465275626629591,0.002271590878216499,0.003963471674418047
iso17,iso17,spice,19,e3nn_pair_full,pair_expand_ms,0.07576942443847656,0.001666530220738277,0.0006454453024420709
iso17,iso17,spice,19,e3nn_pair_full,pair_indexing_ms,0.238453084602952,0.008021312348562147,0.0020312734912585747
iso17,iso17,spice,19,e3nn_pair_full,conv_src_gather_ms,0.09554415009915829,0.0005925131201088301,0.0008138972060873392
iso17,iso17,spice,19,e3nn_pair_full,conv_filter_gather_ms,0.07937625050544739,0.0005461305991558894,0.000676170215016037
iso17,iso17,spice,19,e3nn_pair_full,conv_message_tp_ms,8.186918450519443,0.07270767968239071,0.06974063871442993
iso17,iso17,spice,19,e3nn_pair_full,flash_fused_conv_ms,0.0,0.0,0.0
iso17,iso17,spice,19,e3nn_pair_full,conv_aggregation_ms,0.4515804350376129,0.01335947271826245,0.0038468085593872086
iso17,iso17,spice,19,e3nn_pair_full,top_force_output_ms,41.084810672327876,0.6104055320811264,0.3499828360410476
iso17,iso17,spice,19,e3nn_pair_full,other_ms,10.399750526994467,0.08592194625385045,0.08859074981714342
iso17,iso17,spice,19,e3nn_pair_full,model_total_ms,117.39093018695712,0.9450730664839152,1.0
iso17,iso17,spice,19,flash_baseline,spherical_harmonics_ms,0.2786112017929554,0.006717492501894566,0.0033960591082602652
iso17,iso17,spice,19,flash_baseline,radial_basis_ms,0.04120636731386185,0.0020280997425639645,0.0005022743455180665
iso17,iso17,spice,19,flash_baseline,cutoff_ms,0.07914300076663494,0.0011402709242387308,0.0009646931167122069
iso17,iso17,spice,19,flash_baseline,conv_weight_nn_ms,0.44852960854768753,0.008401923215666724,0.005467235533353563
iso17,iso17,spice,19,flash_baseline,pair_expand_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_baseline,pair_indexing_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_baseline,conv_src_gather_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_baseline,conv_filter_gather_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_baseline,conv_message_tp_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_baseline,flash_fused_conv_ms,1.0844174306839705,0.008117316779130196,0.013218225501813294
iso17,iso17,spice,19,flash_baseline,conv_aggregation_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_baseline,top_force_output_ms,15.301683032885194,0.08959994630746322,0.18651590352838157
iso17,iso17,spice,19,flash_baseline,other_ms,1.849196432158351,0.010608830331791275,0.022540301129243902
iso17,iso17,spice,19,flash_baseline,model_total_ms,82.03956200741231,0.0889612631635031,1.0
iso17,iso17,spice,19,flash_pair_auto,spherical_harmonics_ms,0.2692966256290674,0.002744682501924498,0.0032659088946502
iso17,iso17,spice,19,flash_pair_auto,radial_basis_ms,0.03643222153186798,0.00038657881928851436,0.0004418336697492997
iso17,iso17,spice,19,flash_pair_auto,cutoff_ms,0.07713655941188335,0.0008019236704548864,0.0009354776536746605
iso17,iso17,spice,19,flash_pair_auto,conv_weight_nn_ms,0.461059482768178,0.017571509585227244,0.005591522961782266
iso17,iso17,spice,19,flash_pair_auto,pair_expand_ms,0.07543116807937622,0.0019776297415408854,0.0009147954312046096
iso17,iso17,spice,19,flash_pair_auto,pair_indexing_ms,0.07504369132220745,0.0021565760990350396,0.0009100962865912984
iso17,iso17,spice,19,flash_pair_auto,conv_src_gather_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_pair_auto,conv_filter_gather_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_pair_auto,conv_message_tp_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_pair_auto,flash_fused_conv_ms,1.1221732944250107,0.016837153328315348,0.013609215247463446
iso17,iso17,spice,19,flash_pair_auto,conv_aggregation_ms,0.0,0.0,0.0
iso17,iso17,spice,19,flash_pair_auto,top_force_output_ms,15.448941802605987,0.08999170910366894,0.18735784872240216
iso17,iso17,spice,19,flash_pair_auto,other_ms,2.063616458326578,0.03560923230720559,0.02502661639614639
iso17,iso17,spice,19,flash_pair_auto,model_total_ms,82.45687014423311,0.19389917137034368,1.0
