dataset,sample_id,modal,natoms,case,repeat_idx,stage,time_ms,calls,load
iso17,iso17,spice,19,e3nn_baseline,0,0_convolution.aggregation_ms,0.04634493961930275,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,0_convolution.denominator_ms,0.01030205748975277,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,0_convolution.edge_src_gather_ms,0.014266930520534515,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,0_convolution.message_tp_ms,2.6568127796053886,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,0_convolution.total_ms,2.8835840057581663,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,0_convolution.weight_nn_ms,0.09804894216358662,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,1_convolution.aggregation_ms,0.04812702536582947,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,1_convolution.denominator_ms,0.010462943464517593,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,1_convolution.edge_src_gather_ms,0.013516983017325401,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,1_convolution.message_tp_ms,12.031715828925371,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,1_convolution.total_ms,12.251676991581917,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,1_convolution.weight_nn_ms,0.09163003414869308,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,2_convolution.aggregation_ms,0.054901931434869766,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,2_convolution.denominator_ms,0.01096399500966072,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,2_convolution.edge_src_gather_ms,0.01468416303396225,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,2_convolution.message_tp_ms,21.48754009976983,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,2_convolution.total_ms,21.71653206460178,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,2_convolution.weight_nn_ms,0.09126006625592709,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,3_convolution.aggregation_ms,0.05925889126956463,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,3_convolution.denominator_ms,0.010346993803977966,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,3_convolution.edge_src_gather_ms,0.014323974028229713,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,3_convolution.message_tp_ms,22.559208096936345,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,3_convolution.total_ms,22.79128204099834,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,3_convolution.weight_nn_ms,0.09166193194687366,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,4_convolution.aggregation_ms,0.046054134145379066,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,4_convolution.denominator_ms,0.010174000635743141,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,4_convolution.edge_src_gather_ms,0.013859011232852936,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,4_convolution.message_tp_ms,3.0256619211286306,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,4_convolution.total_ms,3.2432680018246174,1.0,0.0
iso17,iso17,spice,19,e3nn_baseline,0,4_convolution.weight_nn_ms,0.09198207408189774,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,edge_embedding.cutoff_ms,0.08295313455164433,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,edge_embedding.edge_length_norm_ms,0.022382009774446487,1.0,340.0
iso17,iso17,spice,19,e3nn_baseline,0,edge_embedding.radial_basis_ms,0.03861193545162678,1.0,340.0
