dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,spherical_harmonics_ms,0.3176333848387003,0.021696247860356323,0.00178005316833955
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,radial_basis_ms,0.04143044352531433,0.0021539061723550826,0.00023218085939045506
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,cutoff_ms,0.0894057098776102,0.004182768329442241,0.0005010396410821369
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,conv_weight_nn_ms,0.5798289552330971,0.0015161745778247988,0.0032494265972130643
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,conv_src_gather_ms,0.15010060742497444,0.001528864272781624,0.0008411806647849656
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,conv_filter_gather_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,conv_message_tp_ms,64.73694816231728,0.23667722821968806,0.3627931293918758
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,flash_fused_conv_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,conv_aggregation_ms,0.9710108395665884,0.018512620676938193,0.005441653818411718
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,top_force_output_ms,45.90520947240293,0.15668556708350728,0.25725795040762856
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,other_ms,66.79691653698683,0.23678387449922397,0.3743374235594171
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,model_total_ms,178.4403918311,0.2537689772011978,1.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,spherical_harmonics_ms,0.3103103954344988,0.014506497802428076,0.002560695958386372
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,radial_basis_ms,0.04139300435781479,0.001814877459270804,0.0003415770161876498
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,cutoff_ms,0.08993460796773434,0.0039712630003763605,0.0007421446091729515
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,conv_weight_nn_ms,0.5207365844398737,0.01232593974909479,0.004297142753764356
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,pair_expand_ms,0.0920519232749939,0.01588163347216762,0.0007596167945386319
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,pair_indexing_ms,0.33481973223388195,0.002421093844574605,0.002762948156856979
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,conv_src_gather_ms,0.16504349187016487,0.007651348423820743,0.0013619466469956352
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,conv_filter_gather_ms,0.0824150163680315,0.00048148697975924345,0.0006800925860974317
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,conv_message_tp_ms,9.376957593485713,0.024523396866839933,0.0773790944965867
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,flash_fused_conv_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,conv_aggregation_ms,1.120151998475194,0.003515821228173121,0.009243546904890302
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,top_force_output_ms,40.3173309750855,0.11559887251361278,0.3327005089090527
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,other_ms,12.50730948522687,0.022395317036044252,0.10321090533967761
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,model_total_ms,121.18205381557345,0.35960703024349305,1.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,spherical_harmonics_ms,0.28841737657785416,0.012291308508586764,0.0034915134055332002
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,radial_basis_ms,0.03917897120118141,0.002055765663493655,0.0004742914757322138
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,cutoff_ms,0.08412664756178856,0.005672846272433604,0.0010184175489345512
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,conv_weight_nn_ms,0.5854745395481586,0.033671112626929976,0.0070876180474478915
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,pair_expand_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,pair_indexing_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,conv_src_gather_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,conv_filter_gather_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,conv_message_tp_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,flash_fused_conv_ms,1.434661727398634,0.01636880836908874,0.017367679829324023
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,conv_aggregation_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,top_force_output_ms,15.323267690837383,0.054161172916616374,0.18549990015837536
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,other_ms,2.3499527014791965,0.03304467872547738,0.028447978609807446
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,model_total_ms,82.60526112280786,0.22078929605691913,1.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,spherical_harmonics_ms,0.29072542674839497,0.009333929915244218,0.0034657150278915774
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,radial_basis_ms,0.03932276740670204,0.0013002763611853613,0.0004687636284996691
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,cutoff_ms,0.08468334563076496,0.004440179288918621,0.0010095035265652043
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,conv_weight_nn_ms,0.5946419201791286,0.004458634915617028,0.0070886797279092395
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,pair_expand_ms,0.0803251750767231,0.0036851619125905627,0.0009575501169436606
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,pair_indexing_ms,0.30079404823482037,0.0009349429182646828,0.003585742275545619
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,conv_src_gather_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,conv_filter_gather_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,conv_message_tp_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,flash_fused_conv_ms,1.4157479163259268,0.010208679093237713,0.016877019957264677
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,conv_aggregation_ms,0.0,0.0,0.0
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,top_force_output_ms,15.518363984301686,0.07141474593515344,0.18499320087069987
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,other_ms,2.737519098445773,0.01976085961201642,0.03263375063108785
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,model_total_ms,83.8861315511167,0.21510770970246706,1.0
