dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,spherical_harmonics_ms,0.32451990991830826,0.025389931161567035,0.0011369243437738925
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,radial_basis_ms,0.045797182247042656,0.004514732323680704,0.000160446030525583
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,cutoff_ms,0.08816835470497608,0.004977673533958993,0.00030888936472283756
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,conv_weight_nn_ms,0.8144689258188009,0.008436795796557326,0.0028534136757398573
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,conv_src_gather_ms,0.31149694696068764,0.002567012934795782,0.0010912996435257268
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,conv_filter_gather_ms,0.0,0.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,conv_message_tp_ms,74.84619989991188,0.21217119488482997,0.26221647456576025
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,flash_fused_conv_ms,0.0,0.0,0.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,conv_aggregation_ms,2.211557561531663,0.01370190577426857,0.007747979561548386
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,top_force_output_ms,140.72862942703068,0.04675453707537094,0.49302924033783496
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,other_ms,78.56249869801104,0.20429433807105635,0.27523617056333466
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,model_total_ms,285.43667984195054,0.30430089999286813,1.0
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,spherical_harmonics_ms,0.3073259722441435,0.01172265246879669,0.0013714559437725787
