dataset,sample_id,modal,natoms,case,repeat_idx,stage,time_ms,calls,load
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,0_convolution.aggregation_ms,0.19288389012217522,1.0,14238.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,0_convolution.denominator_ms,0.010881107300519943,1.0,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,0_convolution.edge_src_gather_ms,0.02449098974466324,1.0,14238.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,0_convolution.message_tp_ms,3.0513249803334475,1.0,14238.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,0_convolution.total_ms,3.455360885709524,1.0,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,0_convolution.weight_nn_ms,0.1182288397103548,1.0,14238.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,1_convolution.aggregation_ms,0.5643370095640421,1.0,14238.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,1_convolution.denominator_ms,0.016444828361272812,1.0,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,1_convolution.edge_src_gather_ms,0.06708409637212753,1.0,14238.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,1_convolution.message_tp_ms,15.664082020521164,1.0,14238.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,1_convolution.total_ms,16.550953034311533,1.0,0.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,1_convolution.weight_nn_ms,0.18110289238393307,1.0,14238.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,2_convolution.aggregation_ms,0.9313940536230803,1.0,14238.0
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,2_convolution.denominator_ms,0.022194115445017815,1.0,0.0
