dataset,sample_id,modal,natoms,case,repeat_idx,stage,time_ms,calls,load
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,0_convolution.aggregation_ms,0.20213588140904903,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,0_convolution.denominator_ms,0.011187046766281128,1.0,0.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,0_convolution.edge_src_gather_ms,0.024798093363642693,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,0_convolution.message_tp_ms,3.1196048948913813,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,0_convolution.total_ms,3.5344429779797792,1.0,0.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,0_convolution.weight_nn_ms,0.11767004616558552,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,1_convolution.aggregation_ms,0.5906920414417982,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,1_convolution.denominator_ms,0.014039920642971992,1.0,0.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,1_convolution.edge_src_gather_ms,0.06937095895409584,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,1_convolution.message_tp_ms,16.01236779242754,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,1_convolution.total_ms,16.931660939007998,1.0,0.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,1_convolution.weight_nn_ms,0.18915487453341484,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,2_convolution.aggregation_ms,0.9777911473065615,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,2_convolution.denominator_ms,0.019792933017015457,1.0,0.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,2_convolution.edge_src_gather_ms,0.11309911496937275,1.0,15224.0
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,2_convolution.message_tp_ms,29.49953591451049,1.0,15224.0
