dataset,sample_id,modal,natoms,case,repeat_idx,stage,time_ms,calls,load
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,0_convolution.aggregation_ms,0.2449341118335724,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,0_convolution.denominator_ms,0.012065982446074486,1.0,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,0_convolution.edge_src_gather_ms,0.03036600537598133,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,0_convolution.message_tp_ms,3.3199910540133715,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,0_convolution.total_ms,3.7997469771653414,1.0,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,0_convolution.weight_nn_ms,0.13095117174088955,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,1_convolution.aggregation_ms,0.7405260112136602,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,1_convolution.denominator_ms,0.0206739641726017,1.0,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,1_convolution.edge_src_gather_ms,0.0855450052767992,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,1_convolution.message_tp_ms,17.372166039422154,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,1_convolution.total_ms,18.49654014222324,1.0,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,1_convolution.weight_nn_ms,0.2194228582084179,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,2_convolution.aggregation_ms,1.2322429101914167,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,2_convolution.denominator_ms,0.029963208362460136,1.0,0.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,2_convolution.edge_src_gather_ms,0.14198198914527893,1.0,19152.0
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,2_convolution.message_tp_ms,31.56567900441587,1.0,19152.0
