dataset,sample_id,modal,natoms,case,repeat_idx,stage,time_ms,calls,load
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,0_convolution.aggregation_ms,0.047945184633135796,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,0_convolution.denominator_ms,0.010475050657987595,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,0_convolution.edge_src_gather_ms,0.013760058209300041,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,0_convolution.message_tp_ms,2.7018168475478888,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,0_convolution.total_ms,2.9227309860289097,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,0_convolution.weight_nn_ms,0.09127217344939709,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,1_convolution.aggregation_ms,0.05273311398923397,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,1_convolution.denominator_ms,0.010670162737369537,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,1_convolution.edge_src_gather_ms,0.013150973245501518,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,1_convolution.message_tp_ms,12.175978161394596,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,1_convolution.total_ms,12.400155887007713,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,1_convolution.weight_nn_ms,0.0896938145160675,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,2_convolution.aggregation_ms,0.05723792128264904,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,2_convolution.denominator_ms,0.010455958545207977,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,2_convolution.edge_src_gather_ms,0.015833880752325058,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,2_convolution.message_tp_ms,21.321521839126945,1.0,366.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,2_convolution.total_ms,21.55561512336135,1.0,0.0
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,2_convolution.weight_nn_ms,0.0937099102884531,1.0,366.0
