dataset,sample_id,modal,natoms,case,stage,mean_ms,std_ms,share_mean
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,spherical_harmonics_ms,0.2826068550348282,0.0048873910483658,0.0017955787562254266
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,radial_basis_ms,0.037473952397704124,0.0009556949442840541,0.00023809554382121402
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,cutoff_ms,0.08254880085587502,0.002340956418244568,0.0005244843517699726
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,conv_weight_nn_ms,0.518324226140976,0.0017835561258512493,0.0032932391862222263
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,pair_expand_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,pair_indexing_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,conv_src_gather_ms,0.11531636118888855,0.0022459412028918682,0.0007326772323709866
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,conv_filter_gather_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,conv_message_tp_ms,62.7188088838011,0.15359590190978195,0.39849196451245694
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,flash_fused_conv_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,conv_aggregation_ms,0.6589352153241634,0.011945714861135989,0.004186629068920081
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,top_force_output_ms,27.500240970402956,0.22004715588319387,0.17472629413554125
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,other_ms,64.35778983868659,0.15963374466587466,0.40890543938760726
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,model_total_ms,157.39039797335863,0.3655396140806516,1.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,spherical_harmonics_ms,0.30049639753997326,0.00983126810092754,0.0025537205520913047
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,radial_basis_ms,0.03933245316147804,0.0006661979850258772,0.00033426055961044795
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,cutoff_ms,0.08391081355512142,0.0013008755460988768,0.0007131026224362979
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,conv_weight_nn_ms,0.4860985092818737,0.004710984968083084,0.00413103040055226
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,pair_expand_ms,0.07889624685049057,0.0025311828368190913,0.0006704871296773702
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,pair_indexing_ms,0.30443272553384304,0.0013764184756873351,0.0025871728056957107
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,conv_src_gather_ms,0.13233143836259842,0.00033126095995500047,0.0011245975545827217
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,conv_filter_gather_ms,0.08300608024001122,0.001730357823377968,0.0007054138911241321
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,conv_message_tp_ms,8.414481487125158,0.0370680638658293,0.07150912451789
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,flash_fused_conv_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,conv_aggregation_ms,0.7552405819296837,0.010863945700464922,0.006418291239550285
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,top_force_output_ms,40.561873791739345,0.20575461446999424,0.34470859411723664
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,other_ms,11.080368887633085,0.045461279036393146,0.09416474202269799
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,model_total_ms,117.67003922723234,0.2365577569004588,1.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,spherical_harmonics_ms,0.2760256640613079,0.0034516259171628455,0.003356532556114537
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,radial_basis_ms,0.037197768688201904,0.0007834451538586703,0.0004523330178060401
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,cutoff_ms,0.079686613753438,0.0027325180929660244,0.000969006683706524
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,conv_weight_nn_ms,0.5128009244799614,0.015631247600296126,0.006235771603615526
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,pair_expand_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,pair_indexing_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,conv_src_gather_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,conv_filter_gather_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,conv_message_tp_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,flash_fused_conv_ms,1.2017542030662298,0.015590989271623643,0.01461359443063726
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,conv_aggregation_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,top_force_output_ms,15.454354230314493,0.28990540401540005,0.18792833370833054
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,other_ms,2.0385841373354197,0.03471482553042018,0.02478962979263118
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_baseline,model_total_ms,82.23536028526723,0.3991462098017845,1.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,spherical_harmonics_ms,0.28154393658041954,0.0038464586988180933,0.0033815479966660513
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,radial_basis_ms,0.037309201434254646,0.0003677012731647646,0.0004481107172811626
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,cutoff_ms,0.08151549845933914,0.0020262510388250558,0.0009790605823744218
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,conv_weight_nn_ms,0.4793120548129082,0.00981888784321404,0.0057568873207379904
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,pair_expand_ms,0.07539135403931141,0.0013758108530661122,0.0009055051418049424
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,pair_indexing_ms,0.20271660760045052,0.0010475613379892824,0.002434774290109558
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,conv_src_gather_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,conv_filter_gather_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,conv_message_tp_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,flash_fused_conv_ms,1.2182784266769886,0.03474495457448,0.014632412344402622
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,conv_aggregation_ms,0.0,0.0,0.0
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,top_force_output_ms,15.420137159526348,0.09888583288658252,0.18520709255344872
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,other_ms,2.3117322009056807,0.04304958281933026,0.027765589583450715
wbm_initial,wbm_initial:23057,matpes_pbe,100,flash_pair_auto,model_total_ms,83.25889115221798,0.24221943691814304,1.0
