dataset,sample_id,natoms,modal,loader,category,source_kind,local_path,num_edges,num_pairs,avg_neighbors_directed,pair_reuse_factor,reverse_pair_fraction,baseline_edge_embedding_evals,pair_edge_embedding_evals,baseline_weight_nn_rows_total,pair_weight_nn_rows_total,baseline_tp_rows_total,pair_tp_rows_total,baseline_scatter_rows_total,pair_scatter_rows_total,density_bucket
ani1ccx,055:0,55,spice,ani1ccx_h5,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/ani1ccx,2042,1021,37.127272727272725,2.0,1.0,2042,1021,10210,5105,10210,10210,10210,10210,small_sparse
ani1x,ani1x-release_416625,63,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/ani1x,2008,1004,31.873015873015873,2.0,1.0,2008,1004,10040,5020,10040,10040,10040,10040,small_sparse
iso17,iso17,19,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/iso17,340,170,17.894736842105264,2.0,1.0,340,170,1700,850,1700,1700,1700,1700,small_sparse
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,42,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_ac_ala3_nhme,1142,571,27.19047619047619,2.0,1.0,1142,571,5710,2855,5710,5710,5710,5710,small_sparse
md22_at_at,md22_AT-AT_12521,60,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_at_at,1312,656,21.866666666666667,2.0,1.0,1312,656,6560,3280,6560,6560,6560,6560,small_sparse
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,118,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_at_at_cg_cg,3740,1870,31.694915254237287,2.0,1.0,3740,1870,18700,9350,18700,18700,18700,18700,large_sparse
md22_buckyball_catcher,md22_buckyball-catcher_1114,148,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_buckyball_catcher,6872,3436,46.432432432432435,2.0,1.0,6872,3436,34360,17180,34360,34360,34360,34360,large_dense
md22_dha,md22_DHA_45597,56,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_dha,1406,703,25.107142857142858,2.0,1.0,1406,703,7030,3515,7030,7030,7030,7030,small_sparse
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_double_walled_nanotube,24024,12012,64.92972972972973,2.0,1.0,24024,12012,120120,60060,120120,120120,120120,120120,large_dense
md22_stachyose,md22_stachyose_10546,87,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_stachyose,3532,1766,40.59770114942529,2.0,1.0,3532,1766,17660,8830,17660,17660,17660,17660,large_dense
mptrj,mp-1204603,444,mpa,nimashoghi,materials,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/mptrj,27612,13806,62.189189189189186,2.0,1.0,27612,13806,138060,69030,138060,138060,138060,138060,large_dense
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,225,oc20,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_train_20m,8260,4130,36.71111111111111,2.0,1.0,8260,4130,41300,20650,41300,41300,41300,41300,large_sparse
oc20_s2ef_train_2m,frame27,225,oc20,oc20_like,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_train_2m,10738,5369,47.724444444444444,2.0,1.0,10738,5369,53690,26845,53690,53690,53690,53690,large_dense
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,225,oc20,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_id,15230,7615,67.68888888888888,2.0,1.0,15230,7615,76150,38075,76150,76150,76150,76150,large_dense
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,225,oc20,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_ads,6686,3343,29.715555555555557,2.0,1.0,6686,3343,33430,16715,33430,33430,33430,33430,large_sparse
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,223,oc20,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_both,11486,5743,51.506726457399104,2.0,1.0,11486,5743,57430,28715,57430,57430,57430,57430,large_dense
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,225,oc20,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_cat,10270,5135,45.644444444444446,2.0,1.0,10270,5135,51350,25675,51350,51350,51350,51350,large_dense
oc22_s2ef_train,s2ef_train_0,228,oc22,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_train,14238,7119,62.44736842105263,2.0,1.0,14238,7119,71190,35595,71190,71190,71190,71190,large_dense
oc22_s2ef_val_id,s2ef_val_id_0,200,oc22,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_val_id,11704,5852,58.52,2.0,1.0,11704,5852,58520,29260,58520,58520,58520,58520,large_dense
oc22_s2ef_val_ood,is2re_val_ood_43,216,oc22,colabfit,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_val_ood,18264,9132,84.55555555555556,2.0,1.0,18264,9132,91320,45660,91320,91320,91320,91320,large_dense
