dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
ani1ccx,055:0,spice,55,flash_baseline,0,13.62482807599008,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,1,13.349165907129645,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,2,13.3614931255579,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,3,13.506595976650715,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,4,13.309638947248459,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,5,13.315207092091441,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,6,13.292037881910801,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,7,13.324547093361616,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,8,13.321327976882458,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_baseline,9,13.254587072879076,baseline,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,0,16.729206079617143,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,1,24.8857990372926,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,2,28.127321042120457,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,3,27.34322682954371,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,4,27.407491113990545,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,5,27.2906799800694,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,6,27.68710907548666,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,7,27.829036815091968,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,8,27.927468065172434,geometry_only,3,10,cuda
ani1ccx,055:0,spice,55,flash_pair_auto,9,27.96163293533027,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,0,13.774577993899584,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,1,13.456647982820868,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,2,13.460692018270493,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,3,13.449908932670951,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,4,13.497449923306704,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,5,13.432833831757307,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,6,13.414567103609443,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,7,13.446002965793014,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,8,13.7048598844558,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_baseline,9,13.504468137398362,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,0,15.704205958172679,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,1,15.94420988112688,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,2,15.871722949668765,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,3,16.50948403403163,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,4,15.623116865754128,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,5,16.186028020456433,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,6,15.864968067035079,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,7,15.939147910103202,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,8,16.12237887457013,geometry_only,3,10,cuda
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,9,16.004712088033557,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_baseline,0,13.609043089672923,baseline,3,10,cuda
iso17,iso17,spice,19,flash_baseline,1,13.353697955608368,baseline,3,10,cuda
iso17,iso17,spice,19,flash_baseline,2,13.449765043333173,baseline,3,10,cuda
iso17,iso17,spice,19,flash_baseline,3,13.399656862020493,baseline,3,10,cuda
iso17,iso17,spice,19,flash_baseline,4,13.526343973353505,baseline,3,10,cuda
iso17,iso17,spice,19,flash_baseline,5,13.350235065445304,baseline,3,10,cuda
iso17,iso17,spice,19,flash_baseline,6,13.314564945176244,baseline,3,10,cuda
iso17,iso17,spice,19,flash_baseline,7,13.425795128569007,baseline,3,10,cuda
iso17,iso17,spice,19,flash_baseline,8,13.366888975724578,baseline,3,10,cuda
iso17,iso17,spice,19,flash_baseline,9,13.346204999834299,baseline,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,0,13.849416049197316,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,1,13.727517100051045,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,2,13.750862097367644,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,3,13.718671863898635,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,4,13.715928886085749,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,5,13.739164918661118,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,6,13.733635889366269,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,7,13.697851914912462,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,8,13.727601151913404,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,9,13.660689117386937,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,0,13.645303901284933,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,1,13.416892848908901,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,2,13.507405994459987,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,3,13.378999894484878,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,4,13.428105972707272,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,5,13.389193918555975,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,6,13.352212961763144,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,7,13.39965290389955,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,8,13.396259862929583,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,9,13.370825909078121,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,0,16.049569938331842,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,1,16.089539043605328,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,2,15.840529929846525,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,3,16.657493077218533,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,4,15.471575083211064,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,5,16.202641883865,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,6,15.75323287397623,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,7,16.05559792369604,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,8,15.888632973656058,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,9,16.096770064905286,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,0,13.984471093863249,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,1,13.532742857933044,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,2,13.476818101480603,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,3,13.458855915814638,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,4,13.493800070136786,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,5,13.502995017915964,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,6,13.489290839061141,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,7,13.489965116605163,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,8,13.46176490187645,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,9,13.459349051117897,baseline,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,0,17.137876944616437,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,1,24.861075915396214,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,2,19.810711964964867,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,3,19.688301952555776,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,4,19.37970914877951,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,5,20.064424956217408,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,6,19.63389292359352,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,7,17.149815103039145,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,8,22.71367609500885,geometry_only,3,10,cuda
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,9,20.025585079565644,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,0,14.065315015614033,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,1,13.77972587943077,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,2,13.658995972946286,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,3,13.699406059458852,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,4,13.715662062168121,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,5,13.693775981664658,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,6,13.73909693211317,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,7,13.66327004507184,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,8,13.744154013693333,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,9,13.70315789245069,baseline,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,0,18.16571201197803,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,1,16.502889106050134,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,2,16.630633966997266,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,3,15.809591859579086,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,4,16.355641884729266,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,5,15.656920848414302,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,6,15.91428997926414,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,7,19.1127210855484,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,8,19.99969407916069,geometry_only,3,10,cuda
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,9,19.547862000763416,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,0,14.864605851471424,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,1,14.146732166409492,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,2,14.563194010406733,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,3,14.539375901222229,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,4,14.563373988494277,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,5,14.541929122060537,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,6,14.15441487915814,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,7,14.630274847149849,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,8,14.563888078555465,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,9,14.613948063924909,baseline,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,0,17.946505919098854,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,1,22.353470092639327,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,2,27.153025148436427,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,3,22.310845088213682,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,4,23.942137835547328,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,5,25.902691995725036,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,6,27.113097021356225,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,7,22.857907926663756,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,8,25.577440857887268,geometry_only,3,10,cuda
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_pair_auto,9,22.32312294654548,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,0,13.719890033826232,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,1,13.508260948583484,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,2,13.524224981665611,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,3,13.58842896297574,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,4,13.454651925712824,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,5,13.448924059048295,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,6,13.562086038291454,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,7,13.455558102577925,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,8,13.439554953947663,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_baseline,9,13.436019886285067,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,0,15.938509022817016,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,1,15.869866823777556,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,2,15.803307993337512,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,3,16.663669841364026,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,4,15.563015127554536,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,5,15.980313066393137,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,6,15.89181600138545,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,7,16.16504485718906,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,8,15.856562182307243,geometry_only,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,flash_pair_auto,9,16.04683301411569,geometry_only,3,10,cuda
