dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
ani1ccx,055:0,spice,55,flash_baseline,baseline,3,10,cuda,13.36594291497022,0.10696565977230302,13.322937535122037,13.571623631287366,184.26077269638577,174.7641578646759,0.0,1.1920928955078125e-06
ani1ccx,055:0,spice,55,flash_pair_auto,geometry_only,3,10,cuda,26.31889709737152,3.3151711706929716,27.547300094738603,28.052761394064873,166.73096044299504,143.97466954330028,0.0,1.6689300537109375e-06
ani1x,ani1x-release_416625,spice,63,flash_baseline,baseline,3,10,cuda,13.514200877398252,0.11663183460782062,13.45867000054568,13.743204844649881,60.665793639297284,15.824153293500485,0.0,1.1920928955078125e-06
ani1x,ani1x-release_416625,spice,63,flash_pair_auto,geometry_only,3,10,cuda,15.976997464895248,0.23977639222001437,15.941678895615041,16.36392882792279,68.00014502368867,14.559110466164963,0.0,1.1920928955078125e-06
iso17,iso17,spice,19,flash_baseline,baseline,3,10,cuda,13.41421960387379,0.08757381236945593,13.383272918872535,13.571828487329185,60.92131067998707,15.64253834216981,0.0,1.430511474609375e-06
iso17,iso17,spice,19,flash_pair_auto,geometry_only,3,10,cuda,13.732133898884058,0.04574149111645032,13.727559125982225,13.805066770873964,62.1497438599666,15.554342860109784,0.0,1.2516975402832031e-06
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,baseline,3,10,cuda,13.428485416807234,0.08269086376632401,13.397956383414567,13.583249843213707,61.03579498206576,15.485308827677475,0.0,1.3113021850585938e-06
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,geometry_only,3,10,cuda,16.01055827923119,0.29548880279654377,16.05258393101394,16.452810040209442,65.87231198015313,14.132207224364478,0.0,1.8477439880371094e-06
md22_at_at,md22_AT-AT_12521,spice,60,flash_baseline,baseline,3,10,cuda,13.535005296580493,0.151373075670388,13.489627977833152,13.781193387694657,61.23052296849588,15.606821532738817,0.0,1.1920928955078125e-06
md22_at_at,md22_AT-AT_12521,spice,60,flash_pair_auto,geometry_only,3,10,cuda,20.046507008373737,2.1896199727893766,19.74950695876032,23.894745996221896,71.17552364555497,16.435093804052805,0.0,1.6689300537109375e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_baseline,baseline,3,10,cuda,13.746255985461175,0.11190086910720516,13.709409977309406,13.936799904331565,62.17045825906098,15.605756967825698,0.0,2.384185791015625e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,flash_pair_auto,geometry_only,3,10,cuda,17.369595682248473,1.585707344549279,16.5667615365237,19.796369643881917,72.32281123287976,17.732418169088643,0.0,2.7418136596679688e-06
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,flash_baseline,baseline,3,10,cuda,14.518173690885305,0.20474801010430355,14.563283999450505,14.759156899526715,62.29073740541935,15.75439418670327,0.0,1.430511474609375e-06
