dataset,sample_id,modal,natoms,category,source_kind,local_path
ani1ccx,055:0,spice,55,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/ani1ccx
ani1x,ani1x-release_416625,spice,63,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/ani1x
iso17,iso17,spice,19,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/iso17
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_ac_ala3_nhme
md22_at_at,md22_AT-AT_12521,spice,60,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_at_at
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_at_at_cg_cg
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_buckyball_catcher
md22_dha,md22_DHA_45597,spice,56,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_dha
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_double_walled_nanotube
md22_stachyose,md22_stachyose_10546,spice,87,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_stachyose
mptrj,mp-1204603,mpa,444,materials,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/mptrj
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_train_20m
oc20_s2ef_train_2m,frame27,oc20,225,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_train_2m
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_id
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_ads
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_both
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_cat
oc22_s2ef_train,s2ef_train_0,oc22,228,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_train
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_val_id
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,catalysis,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_val_ood
omat24_1m_official,train:106751,omat24,160,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/omat24_1m/omat24_1M_251210.tar.gz
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_train_4m
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_train_neutral
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_validation
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/figshare/phonondb_pbe.extxyz.zip
qm9_hf,0_3057,qcml,29,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/qm9_hf
rmd17,rmd17_azobenzene,spice,24,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/rmd17
salex_train_official,alex_go_aao_005:4493,omat24,132,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/salex/train.tar.gz
salex_val_official,alex_go_aao_006:1039,omat24,128,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/salex/val.tar.gz
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/spice_2023
wbm_initial,wbm_initial:23057,matpes_pbe,100,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/figshare/wbm_initial.extxyz.zip
