dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
ani1ccx,055:0,spice,55,e3nn_baseline,0,-22310.2578125,0.0,1.1920928955078125e-06,2.0796150579371897e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_baseline,1,-22310.2578125,0.0,9.5367431640625e-07,2.0211393803037936e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_baseline,2,-22310.2578125,0.0,1.2516975402832031e-06,2.133801189074802e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_baseline,3,-22310.2578125,0.0,1.1920928955078125e-06,2.240141299125753e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_baseline,4,-22310.2578125,0.0,1.430511474609375e-06,2.073293359217132e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_baseline,5,-22310.2578125,0.0,1.430511474609375e-06,2.1925026771896228e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_baseline,6,-22310.2578125,0.0,1.430511474609375e-06,2.3514483871167613e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_baseline,7,-22310.2578125,0.0,1.3113021850585938e-06,2.2880055894347606e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_baseline,8,-22310.2578125,0.0,9.5367431640625e-07,2.163603483040788e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_baseline,9,-22310.2578125,0.0,1.3709068298339844e-06,2.1349299572648306e-07,2,10,cuda,baseline
ani1ccx,055:0,spice,55,e3nn_pair_full,0,-22310.2578125,0.0,1.9073486328125e-06,2.984973548336711e-07,2,10,cuda,full
ani1ccx,055:0,spice,55,e3nn_pair_full,1,-22310.2578125,0.0,1.9073486328125e-06,3.012518163814093e-07,2,10,cuda,full
ani1ccx,055:0,spice,55,e3nn_pair_full,2,-22310.2578125,0.0,2.1457672119140625e-06,3.1330819183494896e-07,2,10,cuda,full
ani1ccx,055:0,spice,55,e3nn_pair_full,3,-22310.2578125,0.0,1.6689300537109375e-06,3.2154900964087574e-07,2,10,cuda,full
ani1ccx,055:0,spice,55,e3nn_pair_full,4,-22310.2578125,0.0,1.430511474609375e-06,3.326119895064039e-07,2,10,cuda,full
ani1ccx,055:0,spice,55,e3nn_pair_full,5,-22310.2578125,0.0,1.430511474609375e-06,3.1265344091480074e-07,2,10,cuda,full
ani1ccx,055:0,spice,55,e3nn_pair_full,6,-22310.2578125,0.0,1.430511474609375e-06,2.9786517075081065e-07,2,10,cuda,full
ani1ccx,055:0,spice,55,e3nn_pair_full,7,-22310.2578125,0.0,1.7881393432617188e-06,3.4046894370476366e-07,2,10,cuda,full
ani1ccx,055:0,spice,55,e3nn_pair_full,8,-22310.2578125,0.0,1.430511474609375e-06,3.09424876832054e-07,2,10,cuda,full
ani1ccx,055:0,spice,55,e3nn_pair_full,9,-22310.2578125,0.0,1.5497207641601562e-06,3.4053670106004574e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,0,-33906.80859375,0.0,9.5367431640625e-07,1.681603976066981e-07,2,10,cuda,baseline
