dataset,sample_id,modal,natoms,case,n_warmup,n_repeat,device,resolved_policy,abs_energy_diff_mean,abs_energy_diff_std,abs_energy_diff_max,max_force_diff_mean,max_force_diff_std,max_force_diff_max,mean_force_diff_mean,mean_force_diff_std,mean_force_diff_max
ani1ccx,055:0,spice,55,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.2516975402832031e-06,1.727506726525955e-07,1.430511474609375e-06,2.1678480379705434e-07,9.720646722399852e-09,2.3514483871167613e-07
ani1ccx,055:0,spice,55,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.6689300537109375e-06,2.443063441743755e-07,2.1457672119140625e-06,3.168167495459784e-07,1.5541103189378e-08,3.4053670106004574e-07
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.2040138244628906e-06,2.6993732152519824e-07,1.6689300537109375e-06,1.866794221427881e-07,1.388023499458926e-08,2.1069571687348798e-07
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,2.086162567138672e-06,4.4683610949495583e-07,3.0994415283203125e-06,2.9569935122708557e-07,1.971138436729053e-08,3.3230969620490214e-07
iso17,iso17,spice,19,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,9.208917617797851e-07,2.4007060972626605e-07,1.2516975402832031e-06,2.0460339840155938e-07,3.4219626687908694e-08,2.737761519711057e-07
iso17,iso17,spice,19,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.2874603271484376e-06,3.14777992403767e-07,1.7881393432617188e-06,2.75926366555268e-07,5.532382147992211e-08,3.8337810792654636e-07
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.0251998901367187e-06,1.5266237824995158e-07,1.1920928955078125e-06,1.9348448176970123e-07,2.1746795980401677e-08,2.3262367676579743e-07
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.633167266845703e-06,2.264976501464844e-07,1.9073486328125e-06,2.8392920512487765e-07,1.0927044890861908e-08,2.9966412284920807e-07
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.2680888175964355e-06,2.382741803747969e-07,1.6689300537109375e-06,2.5823298415161845e-07,1.7887717923928544e-08,2.9045881433376053e-07
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.9401311874389647e-06,2.415459384674088e-07,2.384185791015625e-06,3.922552224366882e-07,2.4549164648931684e-08,4.3790788595288177e-07
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.9073486328125e-06,3.1680303253932744e-07,2.682209014892578e-06,2.8526621065338986e-07,1.7401060829991886e-08,3.2022236950979277e-07
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,3.1948089599609376e-06,5.636973580139584e-07,4.0531158447265625e-06,4.172188340589855e-07,1.9946998748565304e-08,4.5856324959459016e-07
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.5810132026672362e-06,1.7662119506423246e-07,1.9073486328125e-06,3.327879795733679e-07,1.6541670581471585e-08,3.630228206930042e-07
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,2.5875866413116456e-06,2.0973218958271765e-07,2.9280781745910645e-06,5.123012442709296e-07,9.675426385895971e-09,5.257022053228866e-07
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,9.506940841674804e-07,1.36050131446282e-07,1.1473894119262695e-06,1.716250110916917e-07,1.4262372875641543e-08,1.9527838901467476e-07
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.3649463653564452e-06,2.2718285139678628e-07,1.7583370208740234e-06,2.665251173539218e-07,8.632345115580671e-09,2.7974047611678543e-07
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,2.2858381271362306e-06,3.1058824537260033e-07,2.8908252716064453e-06,4.1468505003194877e-07,1.1036149071409313e-08,4.2771114294737345e-07
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,3.951787948608398e-06,4.1960992590899566e-07,4.649162292480469e-06,6.408180581729539e-07,1.4648965314141473e-08,6.606055649172049e-07
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.2949109077453614e-06,2.537970044005688e-07,1.6689300537109375e-06,2.0826942090934608e-07,1.2926876784285277e-08,2.3781910840625642e-07
md22_stachyose,md22_stachyose_10546,spice,87,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.430511474609375e-06,2.2421172706847225e-07,1.9073486328125e-06,2.94692586066958e-07,1.5692392615756552e-08,3.185265882166277e-07
mptrj,mp-1204603,mpa,444,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.163594424724579e-06,9.610256229971208e-08,1.3113021850585938e-06,1.5032909601586652e-07,2.6441589003380296e-09,1.5467890079889912e-07
mptrj,mp-1204603,mpa,444,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,2.0258128643035887e-06,1.1481874109182448e-07,2.175569534301758e-06,2.800746898401485e-07,2.436437602611076e-09,2.8662606155194226e-07
