dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,0,-33906.80859375,0.0,9.5367431640625e-07,1.681603976066981e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,1,-33906.80859375,0.0,1.0728836059570312e-06,1.767147637110611e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,2,-33906.80859375,0.0,1.0728836059570312e-06,1.9466119738353882e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,3,-33906.80859375,0.0,9.5367431640625e-07,1.8160297088343214e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,4,-33906.80859375,0.0,8.642673492431641e-07,1.7293034204612923e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,-33906.80859375,0.0,1.3113021850585938e-06,1.8355432018779538e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,6,-33906.80859375,0.0,1.430511474609375e-06,1.9171447718235868e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,7,-33906.80859375,0.0,1.6689300537109375e-06,2.0925685362271906e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,8,-33906.80859375,0.0,1.1026859283447266e-06,1.775031819306605e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,9,-33906.80859375,0.0,1.6093254089355469e-06,2.1069571687348798e-07,2,10,cuda,baseline
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,0,-33906.80859375,0.0,2.2649765014648438e-06,3.3230969620490214e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,1,-33906.80859375,0.0,1.6689300537109375e-06,2.717589495659922e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,2,-33906.80859375,0.0,2.0265579223632812e-06,2.832896086601977e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,3,-33906.80859375,0.0,1.6689300537109375e-06,2.7012296754946874e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,4,-33906.80859375,0.0,2.5033950805664062e-06,3.1997089422475256e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,5,-33906.80859375,0.0,1.7881393432617188e-06,3.095834415489662e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,6,-33906.80859375,0.0,2.0265579223632812e-06,2.8798069706681417e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,7,-33906.80859375,0.0,3.0994415283203125e-06,2.8212667757543386e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,8,-33906.80859375,0.0,2.2649765014648438e-06,3.070801994908834e-07,2,10,cuda,full
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,9,-33906.80859375,0.0,1.5497207641601562e-06,2.927703803834447e-07,2,10,cuda,full
