dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,0,-26967.5703125,0.0,1.1920928955078125e-06,2.3262367676579743e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,1,-26967.5703125,0.0,1.1920928955078125e-06,1.934785700541397e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,2,-26967.5703125,0.0,1.1920928955078125e-06,2.233695823861126e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,3,-26967.5703125,0.0,7.152557373046875e-07,1.7207293012688751e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,4,-26967.5703125,0.0,9.5367431640625e-07,1.7783825967399025e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,5,-26967.5703125,0.0,9.5367431640625e-07,1.8335228446630936e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,6,-26967.5703125,0.0,9.5367431640625e-07,2.0027870561989403e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,7,-26967.5703125,0.0,1.1920928955078125e-06,1.9532643591446686e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,8,-26967.5703125,0.0,9.5367431640625e-07,2.0044132043040008e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,9,-26967.5703125,0.0,9.5367431640625e-07,1.560630522590145e-07,2,10,cuda,baseline
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,0,-26967.5703125,0.0,1.6093254089355469e-06,2.9307093996067124e-07,2,10,cuda,full
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,1,-26967.5703125,0.0,1.6689300537109375e-06,2.9315964411580353e-07,2,10,cuda,full
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,2,-26967.5703125,0.0,1.8477439880371094e-06,2.630912376844208e-07,2,10,cuda,full
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,3,-26967.5703125,0.0,1.1920928955078125e-06,2.8269334961805725e-07,2,10,cuda,full
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,4,-26967.5703125,0.0,1.9073486328125e-06,2.9966412284920807e-07,2,10,cuda,full
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,5,-26967.5703125,0.0,1.430511474609375e-06,2.8896130288558197e-07,2,10,cuda,full
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,6,-26967.5703125,0.0,1.7285346984863281e-06,2.860047345620842e-07,2,10,cuda,full
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,7,-26967.5703125,0.0,1.9073486328125e-06,2.6977309630638047e-07,2,10,cuda,full
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,8,-26967.5703125,0.0,1.3709068298339844e-06,2.7438537131274643e-07,2,10,cuda,full
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,9,-26967.5703125,0.0,1.6689300537109375e-06,2.8848825195382233e-07,2,10,cuda,full
