dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,0,-50179.5546875,0.0,1.2814998626708984e-06,2.9045881433376053e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,1,-50179.5546875,0.0,1.4007091522216797e-06,2.464589954342955e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,2,-50179.5546875,0.0,1.1920928955078125e-06,2.654786612765747e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,3,-50179.5546875,0.0,1.430511474609375e-06,2.493978286111087e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,4,-50179.5546875,0.0,1.0132789611816406e-06,2.6249844609083084e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,5,-50179.5546875,0.0,9.98377799987793e-07,2.3932921067171264e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,6,-50179.5546875,0.0,1.6689300537109375e-06,2.892377608532115e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,7,-50179.5546875,0.0,1.2516975402832031e-06,2.368767297866725e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,8,-50179.5546875,0.0,8.940696716308594e-07,2.5010149329318665e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,9,-50179.5546875,0.0,1.5497207641601562e-06,2.524919011648308e-07,2,10,cuda,baseline
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,0,-50179.5546875,0.0,2.384185791015625e-06,4.3790788595288177e-07,2,10,cuda,full
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,1,-50179.5546875,0.0,2.1457672119140625e-06,4.1106250137090683e-07,2,10,cuda,full
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,2,-50179.5546875,0.0,1.7881393432617188e-06,3.8298054505503387e-07,2,10,cuda,full
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,3,-50179.5546875,0.0,1.9073486328125e-06,3.769398801978241e-07,2,10,cuda,full
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,4,-50179.5546875,0.0,1.6093254089355469e-06,3.8290292536657944e-07,2,10,cuda,full
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,5,-50179.5546875,0.0,2.1457672119140625e-06,4.3227595369899063e-07,2,10,cuda,full
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,6,-50179.5546875,0.0,2.0563602447509766e-06,3.8273478253358917e-07,2,10,cuda,full
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,7,-50179.5546875,0.0,1.9073486328125e-06,3.6083835652789276e-07,2,10,cuda,full
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,8,-50179.5546875,0.0,1.9073486328125e-06,3.8307885574795364e-07,2,10,cuda,full
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,9,-50179.5546875,0.0,1.5497207641601562e-06,3.718305379152298e-07,2,10,cuda,full
