dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,0,-101233.21875,0.0,1.9073486328125e-06,2.977811845994438e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,1,-101233.21875,0.0,2.682209014892578e-06,3.2022236950979277e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,2,-101233.21875,0.0,1.5497207641601562e-06,2.9405063628473727e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,3,-101233.21875,0.0,2.205371856689453e-06,2.861528116682166e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,4,-101233.21875,0.0,1.6689300537109375e-06,2.6729483693088696e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,5,-101233.21875,0.0,1.6689300537109375e-06,2.6072297032442293e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,6,-101233.21875,0.0,1.6391277313232422e-06,2.905200346958736e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,7,-101233.21875,0.0,1.9073486328125e-06,2.9189860129008594e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,8,-101233.21875,0.0,1.9073486328125e-06,2.614490881569509e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,9,-101233.21875,0.0,1.9371509552001953e-06,2.8256957307348785e-07,2,10,cuda,baseline
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,0,-101233.21875,0.0,3.5762786865234375e-06,4.160381195106311e-07,2,10,cuda,full
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,1,-101233.21875,0.0,3.0994415283203125e-06,4.5856324959459016e-07,2,10,cuda,full
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,2,-101233.21875,0.0,4.0531158447265625e-06,4.350749804871157e-07,2,10,cuda,full
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,3,-101233.21875,0.0,3.0994415283203125e-06,4.1060800981540524e-07,2,10,cuda,full
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,4,-101233.21875,0.0,4.0531158447265625e-06,4.0090543507176335e-07,2,10,cuda,full
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,5,-101233.21875,0.0,2.86102294921875e-06,4.0575145021648495e-07,2,10,cuda,full
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,6,-101233.21875,0.0,3.5762786865234375e-06,3.953016971536272e-07,2,10,cuda,full
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,7,-101233.21875,0.0,2.5033950805664062e-06,4.4272022137192835e-07,2,10,cuda,full
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,8,-101233.21875,0.0,2.6226043701171875e-06,4.054778628415079e-07,2,10,cuda,full
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,9,-101233.21875,0.0,2.5033950805664062e-06,4.0174731452680135e-07,2,10,cuda,full
