dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,0,-124958.640625,0.0,1.5497207641601562e-06,3.481636099422758e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,1,-124958.640625,0.0,1.3113021850585938e-06,3.099667935657635e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,2,-124958.640625,0.0,1.9073486328125e-06,3.630228206930042e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,3,-124958.640625,0.0,1.5050172805786133e-06,3.479202916878421e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,4,-124958.640625,0.0,1.7881393432617188e-06,3.3442870517319534e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,5,-124958.640625,0.0,1.6689300537109375e-06,3.263949963638879e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,6,-124958.640625,0.0,1.6093254089355469e-06,3.3371134122717194e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,7,-124958.640625,0.0,1.3709068298339844e-06,3.166790349951043e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,8,-124958.640625,0.0,1.6689300537109375e-06,3.3740306548679655e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,9,-124958.640625,0.0,1.430511474609375e-06,3.1018913659863756e-07,2,10,cuda,baseline
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,0,-124958.640625,0.0,2.384185791015625e-06,4.941630891153181e-07,2,10,cuda,full
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,1,-124958.640625,0.0,2.6226043701171875e-06,5.071303235126834e-07,2,10,cuda,full
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,2,-124958.640625,0.0,2.86102294921875e-06,5.174126158635772e-07,2,10,cuda,full
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,3,-124958.640625,0.0,2.9280781745910645e-06,5.103668740957801e-07,2,10,cuda,full
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,4,-124958.640625,0.0,2.5033950805664062e-06,5.240409564066795e-07,2,10,cuda,full
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,5,-124958.640625,0.0,2.7418136596679688e-06,4.983561439075856e-07,2,10,cuda,full
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,6,-124958.640625,0.0,2.6226043701171875e-06,5.130265776642773e-07,2,10,cuda,full
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,7,-124958.640625,0.0,2.2649765014648438e-06,5.149186108610593e-07,2,10,cuda,full
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,8,-124958.640625,0.0,2.6226043701171875e-06,5.257022053228866e-07,2,10,cuda,full
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_pair_full,9,-124958.640625,0.0,2.3245811462402344e-06,5.178950459594489e-07,2,10,cuda,full
