dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,0,-27440.89453125,0.0,8.344650268554688e-07,1.722170708262638e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,1,-27440.89453125,0.0,8.642673492431641e-07,1.719066204941555e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,2,-27440.89453125,0.0,9.685754776000977e-07,1.749888554058998e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,3,-27440.89453125,0.0,1.1324882507324219e-06,1.7882501879284973e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,4,-27440.89453125,0.0,7.152557373046875e-07,1.4503132206300506e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,5,-27440.89453125,0.0,1.1026859283447266e-06,1.57160684466362e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,6,-27440.89453125,0.0,8.344650268554688e-07,1.5645110806872253e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,7,-27440.89453125,0.0,1.1473894119262695e-06,1.9527838901467476e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,8,-27440.89453125,0.0,9.5367431640625e-07,1.8671909174372558e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,9,-27440.89453125,0.0,9.5367431640625e-07,1.7767195004125824e-07,2,10,cuda,baseline
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,0,-27440.89453125,0.0,1.2814998626708984e-06,2.5039273054972e-07,2,10,cuda,full
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,1,-27440.89453125,0.0,1.519918441772461e-06,2.5984454055105743e-07,2,10,cuda,full
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,2,-27440.89453125,0.0,1.7583370208740234e-06,2.7231760668655625e-07,2,10,cuda,full
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,3,-27440.89453125,0.0,1.087784767150879e-06,2.7974047611678543e-07,2,10,cuda,full
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,4,-27440.89453125,0.0,1.4454126358032227e-06,2.629378741403343e-07,2,10,cuda,full
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,5,-27440.89453125,0.0,1.519918441772461e-06,2.672452410479309e-07,2,10,cuda,full
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,6,-27440.89453125,0.0,1.1920928955078125e-06,2.5625229227443924e-07,2,10,cuda,full
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,7,-27440.89453125,0.0,1.3709068298339844e-06,2.721956491313904e-07,2,10,cuda,full
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,8,-27440.89453125,0.0,1.519918441772461e-06,2.751171166437416e-07,2,10,cuda,full
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,9,-27440.89453125,0.0,9.5367431640625e-07,2.692076463972626e-07,2,10,cuda,full
