dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,0,-338922.90625,0.0,2.86102294921875e-06,4.1381346704838506e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,1,-338922.90625,0.0,1.996755599975586e-06,4.0957635860650043e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,2,-338922.90625,0.0,2.2649765014648438e-06,4.1248193838328007e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,3,-338922.90625,0.0,2.0265579223632812e-06,4.147943002408283e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,4,-338922.90625,0.0,2.8908252716064453e-06,4.2767675267896266e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,5,-338922.90625,0.0,2.2649765014648438e-06,4.1615015788920573e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,6,-338922.90625,0.0,2.2649765014648438e-06,4.2771114294737345e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,7,-338922.90625,0.0,2.115964889526367e-06,4.090091749731073e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,8,-338922.90625,0.0,2.0265579223632812e-06,3.888565345278039e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_baseline,9,-338922.90625,0.0,2.1457672119140625e-06,4.267806730240409e-07,2,10,cuda,baseline
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,0,-338922.90625,0.0,4.649162292480469e-06,6.454803838096268e-07,2,10,cuda,full
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,1,-338922.90625,0.0,3.4570693969726562e-06,6.514517281175358e-07,2,10,cuda,full
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,2,-338922.90625,0.0,4.0531158447265625e-06,6.4520179421379e-07,2,10,cuda,full
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,3,-338922.90625,0.0,4.6193599700927734e-06,6.401760401786305e-07,2,10,cuda,full
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,4,-338922.90625,0.0,3.6656856536865234e-06,6.321649834717391e-07,2,10,cuda,full
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,5,-338922.90625,0.0,3.933906555175781e-06,6.53785946269636e-07,2,10,cuda,full
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,6,-338922.90625,0.0,4.172325134277344e-06,6.606055649172049e-07,2,10,cuda,full
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,7,-338922.90625,0.0,3.933906555175781e-06,6.167604169604601e-07,2,10,cuda,full
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,8,-338922.90625,0.0,3.337860107421875e-06,6.48540321890323e-07,2,10,cuda,full
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,e3nn_pair_full,9,-338922.90625,0.0,3.6954879760742188e-06,6.140134019005927e-07,2,10,cuda,full
