dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
mptrj,mp-1204603,mpa,444,e3nn_baseline,0,-2253.971435546875,0.0,1.2665987014770508e-06,1.5206532566480746e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_baseline,1,-2253.971435546875,0.0,1.1771917343139648e-06,1.4676581372441433e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_baseline,2,-2253.971435546875,0.0,1.0281801223754883e-06,1.5467890079889912e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_baseline,3,-2253.971435546875,0.0,1.1920928955078125e-06,1.5255021423854487e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_baseline,4,-2253.971435546875,0.0,1.3113021850585938e-06,1.5219433180391206e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_baseline,5,-2253.971435546875,0.0,1.2200325727462769e-06,1.4793066327456472e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_baseline,6,-2253.971435546875,0.0,1.1473894119262695e-06,1.4783067570078856e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_baseline,7,-2253.971435546875,0.0,1.0579824447631836e-06,1.5235269756885828e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_baseline,8,-2253.971435546875,0.0,1.0132789611816406e-06,1.4708218998293887e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_baseline,9,-2253.971435546875,0.0,1.2218952178955078e-06,1.4984014740093698e-07,2,10,cuda,baseline
mptrj,mp-1204603,mpa,444,e3nn_pair_full,0,-2253.971435546875,0.0,1.862645149230957e-06,2.8045394628861686e-07,2,10,cuda,full
mptrj,mp-1204603,mpa,444,e3nn_pair_full,1,-2253.971435546875,0.0,2.175569534301758e-06,2.785808135286061e-07,2,10,cuda,full
mptrj,mp-1204603,mpa,444,e3nn_pair_full,2,-2253.971435546875,0.0,2.0563602447509766e-06,2.7999476515105926e-07,2,10,cuda,full
mptrj,mp-1204603,mpa,444,e3nn_pair_full,3,-2253.971435546875,0.0,2.115964889526367e-06,2.77834942608024e-07,2,10,cuda,full
mptrj,mp-1204603,mpa,444,e3nn_pair_full,4,-2253.971435546875,0.0,1.9073486328125e-06,2.810818102716439e-07,2,10,cuda,full
mptrj,mp-1204603,mpa,444,e3nn_pair_full,5,-2253.971435546875,0.0,2.034008502960205e-06,2.7931199042541266e-07,2,10,cuda,full
mptrj,mp-1204603,mpa,444,e3nn_pair_full,6,-2253.971435546875,0.0,1.8849968910217285e-06,2.775297502921603e-07,2,10,cuda,full
mptrj,mp-1204603,mpa,444,e3nn_pair_full,7,-2253.971435546875,0.0,2.115964889526367e-06,2.8662606155194226e-07,2,10,cuda,full
mptrj,mp-1204603,mpa,444,e3nn_pair_full,8,-2253.971435546875,0.0,2.175569534301758e-06,2.791018971493031e-07,2,10,cuda,full
mptrj,mp-1204603,mpa,444,e3nn_pair_full,9,-2253.971435546875,0.0,1.9297003746032715e-06,2.802309211347165e-07,2,10,cuda,full
