dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,0,-987.148193359375,6.103515625e-05,9.387731552124023e-07,1.5045624479625985e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,1,-987.148193359375,6.103515625e-05,9.834766387939453e-07,1.452669238233284e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,2,-987.148193359375,6.103515625e-05,8.121132850646973e-07,1.4803977421706804e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,3,-987.1482543945312,0.0,6.631016731262207e-07,1.3972675105833332e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,4,-987.148193359375,6.103515625e-05,7.711350917816162e-07,1.4463923037055793e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,5,-987.148193359375,6.103515625e-05,7.748603820800781e-07,1.4327011399473122e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,6,-987.148193359375,6.103515625e-05,9.5367431640625e-07,1.388598036555777e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,7,-987.148193359375,6.103515625e-05,9.5367431640625e-07,1.4156449879010324e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,8,-987.148193359375,6.103515625e-05,8.940696716308594e-07,1.4053914298983727e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_baseline,9,-987.148193359375,6.103515625e-05,9.5367431640625e-07,1.4918948920694675e-07,2,10,cuda,baseline
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,0,-987.1482543945312,0.0,1.1399388313293457e-06,2.1813779937929212e-07,2,10,cuda,full
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,1,-987.148193359375,6.103515625e-05,1.1399388313293457e-06,2.11538093708441e-07,2,10,cuda,full
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,2,-987.148193359375,6.103515625e-05,9.834766387939453e-07,2.141600248251052e-07,2,10,cuda,full
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,3,-987.148193359375,6.103515625e-05,9.760260581970215e-07,2.1958453544357326e-07,2,10,cuda,full
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,4,-987.148193359375,6.103515625e-05,1.0728836059570312e-06,2.1870077659968956e-07,2,10,cuda,full
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,5,-987.1482543945312,0.0,1.080334186553955e-06,2.2285314571490744e-07,2,10,cuda,full
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,6,-987.148193359375,6.103515625e-05,1.0728836059570312e-06,2.1836744679148978e-07,2,10,cuda,full
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,7,-987.148193359375,6.103515625e-05,1.12876296043396e-06,2.2156937973250024e-07,2,10,cuda,full
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,8,-987.148193359375,6.103515625e-05,1.043081283569336e-06,2.1846678066594905e-07,2,10,cuda,full
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,e3nn_pair_full,9,-987.1482543945312,0.0,1.430511474609375e-06,2.2660503873339621e-07,2,10,cuda,full
