dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,-1551.4423828125,0.0,1.5497207641601562e-06,2.4156656763807405e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,1,-1551.4423828125,0.0,1.1920928955078125e-06,2.555193816533574e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,2,-1551.4423828125,0.0,1.1920928955078125e-06,2.63985697301905e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,3,-1551.4423828125,0.0,1.1920928955078125e-06,2.5075587473111227e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,4,-1551.4423828125,0.0,1.1920928955078125e-06,2.4439015078314696e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,5,-1551.4423828125,0.0,1.4901161193847656e-06,2.6486563342587033e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,6,-1551.4423828125,0.0,1.2516975402832031e-06,2.460005532611831e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,7,-1551.4423828125,0.0,1.2069940567016602e-06,2.4574083568040805e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,8,-1551.4423828125,0.0,1.3783574104309082e-06,2.6538950237409153e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,9,-1551.4423828125,0.0,1.430511474609375e-06,2.7466799679132237e-07,2,10,cuda,baseline
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,0,-1551.4423828125,0.0,2.0158477127552032e-06,4.6709638468200865e-07,2,10,cuda,full
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,1,-1551.4423828125,0.0,1.9818544387817383e-06,4.503176000980602e-07,2,10,cuda,full
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,2,-1551.4423828125,0.0,1.9744038581848145e-06,4.398194732857519e-07,2,10,cuda,full
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,3,-1551.4423828125,0.0,1.9799917936325073e-06,4.482922690840496e-07,2,10,cuda,full
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,4,-1551.4423828125,0.0,2.0116567611694336e-06,4.5242364876685315e-07,2,10,cuda,full
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,5,-1551.4423828125,0.0,1.8924474716186523e-06,4.630838077446242e-07,2,10,cuda,full
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,6,-1551.4423828125,0.0,2.203509211540222e-06,4.501630712638871e-07,2,10,cuda,full
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,7,-1551.4423828125,0.0,2.294778823852539e-06,4.591382776197861e-07,2,10,cuda,full
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,8,-1551.4423828125,0.0,1.952052116394043e-06,4.433408662407601e-07,2,10,cuda,full
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,9,-1551.4423828125,0.0,1.9818544387817383e-06,4.6546759335797105e-07,2,10,cuda,full
