dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,-532.0814208984375,0.0,9.1552734375e-05,1.1149483043482178e-06,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,1,-532.0814208984375,0.0,0.000152587890625,1.718096086733567e-06,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,2,-532.0814819335938,6.103515625e-05,6.103515625e-05,8.658117849336122e-07,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,3,-532.0814208984375,0.0,0.0001220703125,1.4247450508264592e-06,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,4,-532.0814208984375,0.0,6.103515625e-05,1.0259371947540785e-06,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,5,-532.0814208984375,0.0,6.103515625e-05,9.203096738019667e-07,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,6,-532.0814208984375,0.0,6.103515625e-05,9.558241345075658e-07,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,7,-532.0814208984375,0.0,6.103515625e-05,1.0029102668340784e-06,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,8,-532.0814208984375,0.0,9.1552734375e-05,1.0633375495672226e-06,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,9,-532.0814208984375,0.0,6.103515625e-05,1.0457821417730884e-06,2,10,cuda,baseline
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,0,-532.0814208984375,0.0,0.0001220703125,1.8411160453979392e-06,2,10,cuda,full
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,1,-532.0814819335938,6.103515625e-05,6.103515625e-05,1.683730374679726e-06,2,10,cuda,full
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,2,-532.0814208984375,0.0,0.000244140625,2.1073112748126732e-06,2,10,cuda,full
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,3,-532.0814208984375,0.0,0.000244140625,2.0608324575732695e-06,2,10,cuda,full
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,4,-532.0814208984375,0.0,0.00018310546875,2.0586749087669887e-06,2,10,cuda,full
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,5,-532.0814208984375,0.0,0.00018310546875,2.0951536043867236e-06,2,10,cuda,full
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,6,-532.0814208984375,0.0,0.000244140625,2.0898899038002128e-06,2,10,cuda,full
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,7,-532.0814208984375,0.0,0.00018310546875,1.8695369590204791e-06,2,10,cuda,full
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,8,-532.0814208984375,0.0,0.00018310546875,1.756876031322463e-06,2,10,cuda,full
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,9,-532.0814208984375,0.0,0.00018310546875,1.8251555502502015e-06,2,10,cuda,full
