dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,-292497.6875,0.0,2.0265579223632812e-06,2.3827843165236118e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,1,-292497.6875,0.0,1.6689300537109375e-06,2.1631340985095449e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,2,-292497.6875,0.0,2.384185791015625e-06,2.352946637529385e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,3,-292497.6875,0.0,1.9073486328125e-06,2.347677963143724e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,4,-292497.6875,0.0,1.7881393432617188e-06,2.2654731424154306e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,5,-292497.6875,0.0,1.430511474609375e-06,2.240850847101683e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,6,-292497.6875,0.0,2.384185791015625e-06,2.3142213478877238e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,7,-292497.6875,0.0,1.9073486328125e-06,2.2966946744418237e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,8,-292497.6875,0.0,2.1457672119140625e-06,2.296446268701402e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,9,-292497.6875,0.0,2.0265579223632812e-06,2.445351583446609e-07,2,10,cuda,baseline
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,0,-292497.6875,0.0,2.9802322387695312e-06,4.3688652340279077e-07,2,10,cuda,full
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,1,-292497.6875,0.0,2.562999725341797e-06,4.4651375219473266e-07,2,10,cuda,full
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,2,-292497.6875,0.0,3.248453140258789e-06,4.5197438680588675e-07,2,10,cuda,full
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,3,-292497.6875,0.0,2.86102294921875e-06,4.431011007000052e-07,2,10,cuda,full
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,4,-292497.6875,0.0,3.0994415283203125e-06,4.5180320284998743e-07,2,10,cuda,full
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,5,-292497.6875,0.0,2.86102294921875e-06,4.317824391364411e-07,2,10,cuda,full
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,6,-292497.6875,0.0,3.159046173095703e-06,4.511672386797727e-07,2,10,cuda,full
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,7,-292497.6875,0.0,2.86102294921875e-06,4.476415256249311e-07,2,10,cuda,full
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,8,-292497.6875,0.0,3.0100345611572266e-06,4.455336295450252e-07,2,10,cuda,full
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,9,-292497.6875,0.0,3.4570693969726562e-06,4.4854758129986294e-07,2,10,cuda,full
