dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,0,-115890.6328125,0.0,7.62939453125e-06,4.064648351231881e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,1,-115890.6328125,0.0,7.62939453125e-06,3.816707305759337e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,2,-115890.6328125,0.0,7.62939453125e-06,3.849157792501501e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,3,-115890.6328125,0.0,7.62939453125e-06,4.5040337681712117e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,4,-115890.6328125,0.0,3.814697265625e-06,3.79286689167202e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,5,-115890.6328125,0.0,3.814697265625e-06,3.484827288957604e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,6,-115890.6328125,0.0,7.62939453125e-06,3.950694349441619e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,7,-115890.6328125,0.0,7.62939453125e-06,3.8276843383755477e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,8,-115890.6328125,0.0,3.814697265625e-06,3.471174636615615e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,9,-115890.6328125,0.0,7.62939453125e-06,3.620255029090913e-07,2,10,cuda,baseline
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,0,-115890.6328125,0.0,1.33514404296875e-05,7.695502972637769e-07,2,10,cuda,full
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,1,-115890.6328125,0.0,1.33514404296875e-05,7.463169708898931e-07,2,10,cuda,full
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,2,-115890.6328125,0.0,1.52587890625e-05,7.768405225760944e-07,2,10,cuda,full
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,3,-115890.6328125,0.0,1.52587890625e-05,7.824413046364498e-07,2,10,cuda,full
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,4,-115890.6328125,0.0,1.52587890625e-05,7.877068242123642e-07,2,10,cuda,full
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,5,-115890.6328125,0.0,9.5367431640625e-06,7.35315211386478e-07,2,10,cuda,full
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,6,-115890.6328125,0.0,1.52587890625e-05,7.86738610258908e-07,2,10,cuda,full
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,7,-115890.6328125,0.0,2.288818359375e-05,8.030967819649959e-07,2,10,cuda,full
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,8,-115890.6328125,0.0,1.33514404296875e-05,7.382781177511788e-07,2,10,cuda,full
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,9,-115890.6328125,0.0,1.33514404296875e-05,7.40088410111639e-07,2,10,cuda,full
