dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,0,-330.78778076171875,0.0,9.406358003616333e-08,2.7651916312265712e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,1,-330.78778076171875,0.0,9.872019290924072e-08,3.151705740833677e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,2,-330.78778076171875,0.0,6.845220923423767e-08,3.106984181044936e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,3,-330.78778076171875,0.0,7.264316082000732e-08,2.779062491242712e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,4,-330.78778076171875,0.0,7.171183824539185e-08,2.6936177732750366e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,5,-330.78778076171875,0.0,6.402745356126616e-08,2.2970441548864073e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,6,-330.78778076171875,0.0,7.349244413035194e-08,2.635319162891392e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,7,-330.78778076171875,0.0,6.51925802230835e-08,2.6974126043910474e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,8,-330.78778076171875,0.0,8.00982746795853e-08,2.245802654954332e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,9,-330.78778076171875,0.0,5.98374754190445e-08,2.8994060485842965e-08,2,10,cuda,baseline
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,0,-330.78778076171875,0.0,8.874864221297685e-08,3.5887129712364185e-08,2,10,cuda,full
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,1,-330.78778076171875,0.0,8.123443961949306e-08,2.5799044678365135e-08,2,10,cuda,full
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,2,-330.78778076171875,0.0,7.287945180678435e-08,2.609142235598938e-08,2,10,cuda,full
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,3,-330.78778076171875,0.0,9.423153102261494e-08,3.5718660029715465e-08,2,10,cuda,full
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,4,-330.78778076171875,0.0,9.778887033462524e-08,3.5039686707705187e-08,2,10,cuda,full
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,5,-330.78778076171875,0.0,7.915364363952904e-08,3.1208028161699986e-08,2,10,cuda,full
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,6,-330.78778076171875,0.0,1.1709595071351941e-07,2.7678851211021538e-08,2,10,cuda,full
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,7,-330.78778076171875,0.0,9.499376574240159e-08,3.440854001723892e-08,2,10,cuda,full
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,8,-330.78778076171875,0.0,9.334233652680268e-08,3.79183724419363e-08,2,10,cuda,full
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,9,-330.78778076171875,0.0,9.236460130068735e-08,3.8952304493022893e-08,2,10,cuda,full
