dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,0,-15593.1962890625,0.0,1.3113021850585938e-06,3.049564156754059e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,1,-15593.1962890625,0.0,9.5367431640625e-07,2.3541764448964386e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,2,-15593.1962890625,0.0,1.1920928955078125e-06,2.849847078323364e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,3,-15593.1962890625,0.0,9.5367431640625e-07,2.119276274470394e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,4,-15593.1962890625,0.0,9.5367431640625e-07,2.0571880554598465e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,5,-15593.1962890625,0.0,2.3245811462402344e-06,3.5338518955541076e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,6,-15593.1962890625,0.0,7.897615432739258e-07,2.1006498229780846e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,7,-15593.1962890625,0.0,1.1920928955078125e-06,2.5683806370579987e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,8,-15593.1962890625,0.0,1.430511474609375e-06,2.7463667606753006e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,9,-15593.1962890625,0.0,1.430511474609375e-06,2.9698841785830155e-07,2,10,cuda,baseline
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,0,-15593.1962890625,0.0,1.1920928955078125e-06,3.4262322401446e-07,2,10,cuda,full
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,1,-15593.1962890625,0.0,1.7285346984863281e-06,3.152526915073395e-07,2,10,cuda,full
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,2,-15593.1962890625,0.0,1.0728836059570312e-06,2.959277480840683e-07,2,10,cuda,full
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,3,-15593.1962890625,0.0,1.9669532775878906e-06,3.7206336855888367e-07,2,10,cuda,full
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,4,-15593.1962890625,0.0,1.3709068298339844e-06,3.1509748055214004e-07,2,10,cuda,full
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,5,-15593.1962890625,0.0,1.2069940567016602e-06,3.2265154459309997e-07,2,10,cuda,full
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,6,-15593.1962890625,0.0,1.430511474609375e-06,2.9869585205233307e-07,2,10,cuda,full
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,7,-15593.1962890625,0.0,2.086162567138672e-06,3.7824631249350205e-07,2,10,cuda,full
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,8,-15593.1962890625,0.0,1.3709068298339844e-06,3.2177194952964783e-07,2,10,cuda,full
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,9,-15593.1962890625,0.0,2.205371856689453e-06,3.055255319850403e-07,2,10,cuda,full
