dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,0,-934.63818359375,0.0001220703125,1.1995434761047363e-06,2.5200978370776284e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,1,-934.6383056640625,0.0,1.3709068298339844e-06,2.747942460246122e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,2,-934.6382446289062,6.103515625e-05,1.430511474609375e-06,3.1016332968647475e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,3,-934.6382446289062,6.103515625e-05,1.2814998626708984e-06,2.6209909265162423e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,4,-934.6383056640625,0.0,1.6689300537109375e-06,3.033759696791094e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,-934.6383056640625,0.0,1.5497207641601562e-06,3.081031536567025e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,6,-934.6382446289062,6.103515625e-05,1.4901161193847656e-06,3.152761962610384e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,7,-934.6383056640625,0.0,1.6093254089355469e-06,2.732467407895456e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,8,-934.6382446289062,6.103515625e-05,1.3709068298339844e-06,2.815698678659828e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,9,-934.6383056640625,0.0,1.341104507446289e-06,2.8739296453750285e-07,2,10,cuda,baseline
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,0,-934.6382446289062,6.103515625e-05,2.5331974029541016e-06,4.6641005724268325e-07,2,10,cuda,full
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,1,-934.6382446289062,6.103515625e-05,3.0100345611572266e-06,4.5430240902533114e-07,2,10,cuda,full
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,2,-934.6382446289062,6.103515625e-05,2.294778823852539e-06,4.668533790663787e-07,2,10,cuda,full
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,3,-934.6382446289062,6.103515625e-05,2.294778823852539e-06,4.5168394535721745e-07,2,10,cuda,full
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,4,-934.6382446289062,6.103515625e-05,2.175569534301758e-06,4.512975237958017e-07,2,10,cuda,full
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,5,-934.6382446289062,6.103515625e-05,2.5331974029541016e-06,4.56384810831878e-07,2,10,cuda,full
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,6,-934.6382446289062,6.103515625e-05,2.771615982055664e-06,4.5714429575127724e-07,2,10,cuda,full
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,7,-934.63818359375,0.0001220703125,2.3543834686279297e-06,4.726725251202879e-07,2,10,cuda,full
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,8,-934.6382446289062,6.103515625e-05,2.3245811462402344e-06,4.3964436713395116e-07,2,10,cuda,full
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,9,-934.6383056640625,0.0,2.1904706954956055e-06,4.4159565959489555e-07,2,10,cuda,full
