dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,0,-60925.50390625,0.0,7.152557373046875e-07,1.6935420887875807e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,1,-60925.50390625,0.0,9.5367431640625e-07,1.9501615611261514e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,2,-60925.50390625,0.0,9.5367431640625e-07,2.0902436403957836e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,3,-60925.50390625,0.0,9.5367431640625e-07,1.7683269959434256e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,4,-60925.50390625,0.0,9.5367431640625e-07,2.1044751008503226e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,5,-60925.50390625,0.0,9.5367431640625e-07,1.8517273758789088e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,6,-60925.50390625,0.0,9.5367431640625e-07,1.9782756055519712e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,7,-60925.50390625,0.0,9.5367431640625e-07,1.9490454405968194e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,8,-60925.50390625,0.0,9.5367431640625e-07,2.029829744287781e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,9,-60925.50390625,0.0,1.1920928955078125e-06,2.190003272062313e-07,2,10,cuda,baseline
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,0,-60925.50390625,0.0,9.5367431640625e-07,2.1196832733494375e-07,2,10,cuda,full
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,1,-60925.50390625,0.0,1.2516975402832031e-06,2.5100712264247704e-07,2,10,cuda,full
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,2,-60925.50390625,0.0,1.1920928955078125e-06,2.2059090554193972e-07,2,10,cuda,full
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,3,-60925.50390625,0.0,9.5367431640625e-07,2.1929332660874934e-07,2,10,cuda,full
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,4,-60925.50390625,0.0,1.2367963790893555e-06,2.40954420860362e-07,2,10,cuda,full
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,5,-60925.50390625,0.0,1.1920928955078125e-06,2.514256891572586e-07,2,10,cuda,full
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,6,-60925.50390625,0.0,1.1920928955078125e-06,2.559183656103414e-07,2,10,cuda,full
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,7,-60925.50390625,0.0,9.5367431640625e-07,2.357501784899796e-07,2,10,cuda,full
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,8,-60925.50390625,0.0,1.1920928955078125e-06,2.265695115966082e-07,2,10,cuda,full
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,9,-60925.50390625,0.0,1.1920928955078125e-06,2.499886022633291e-07,2,10,cuda,full
