dataset,sample_id,modal,natoms,case,repeat_idx,energy,abs_energy_diff_vs_reference,max_abs_force_diff_vs_reference,mean_abs_force_diff_vs_reference,n_warmup,n_repeat,device,resolved_policy
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,0,-437.61041259765625,0.0,4.470348358154297e-07,1.0372527725621694e-07,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,1,-437.61041259765625,0.0,3.725290298461914e-07,9.455484928366786e-08,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,2,-437.61041259765625,0.0,5.662441253662109e-07,9.549316359880322e-08,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,3,-437.61041259765625,0.0,4.814937710762024e-07,9.813734180852407e-08,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,4,-437.61041259765625,0.0,7.748603820800781e-07,1.0398139238532167e-07,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,5,-437.61041259765625,0.0,5.811452865600586e-07,9.581214044374065e-08,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,6,-437.61041259765625,0.0,4.917383193969727e-07,1.0049513576859681e-07,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,7,-437.61041259765625,0.0,4.917383193969727e-07,9.830187508441668e-08,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,8,-437.61041259765625,0.0,5.811452865600586e-07,9.823047264490015e-08,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,9,-437.61041259765625,0.0,3.8743019104003906e-07,8.999369782713984e-08,2,10,cuda,baseline
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,0,-437.61041259765625,0.0,7.003545761108398e-07,1.1276298295115339e-07,2,10,cuda,full
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,1,-437.61041259765625,0.0,6.258487701416016e-07,1.2328382581472397e-07,2,10,cuda,full
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,2,-437.61041259765625,0.0,5.960464477539062e-07,1.2349647704468225e-07,2,10,cuda,full
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,3,-437.61041259765625,0.0,6.109476089477539e-07,1.1444790004588867e-07,2,10,cuda,full
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,4,-437.61041259765625,0.0,6.109476089477539e-07,1.2247124914210872e-07,2,10,cuda,full
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,5,-437.61041259765625,0.0,5.960464477539062e-07,1.1781618525219528e-07,2,10,cuda,full
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,6,-437.61041259765625,0.0,4.76837158203125e-07,1.1357013107726743e-07,2,10,cuda,full
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,7,-437.61041259765625,0.0,6.258487701416016e-07,1.2739018018237402e-07,2,10,cuda,full
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,8,-437.61041259765625,0.0,6.631016731262207e-07,1.3491217032424174e-07,2,10,cuda,full
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,9,-437.61041259765625,0.0,7.003545761108398e-07,1.2916201796997484e-07,2,10,cuda,full
