dataset,baseline_mean_ms,baseline_std_ms,proposal_mean_ms,proposal_std_ms,speedup_baseline_over_proposal,natoms,num_edges,avg_neighbors_directed,density_bucket
ani1ccx,31.833992525935173,0.4398851714892866,48.29108465928584,0.205224307405854,0.6592105509854984,55,2042,37.127272727272725,small_sparse
ani1x,31.5002522431314,0.3156348405716656,48.59277354553342,0.4293138233881927,0.6482497281949624,63,2008,31.873015873015873,small_sparse
iso17,29.38942515756935,0.18112837459692188,47.90670149959624,0.24321644694676417,0.6134721080268288,19,340,17.894736842105264,small_sparse
md22_ac_ala3_nhme,29.285156726837158,0.12947566167996044,48.875236068852246,0.3722444004612053,0.5991818982844838,42,1142,27.19047619047619,small_sparse
md22_at_at,29.31396292988211,0.18888267681551948,48.27208698261529,0.3103374515286291,0.6072652906106843,60,1312,21.866666666666667,small_sparse
md22_at_at_cg_cg,55.03281804267317,0.3510377489619519,55.24573237635195,0.2867027258377253,0.9961460492146553,118,3740,31.694915254237287,large_sparse
md22_buckyball_catcher,104.06654751859605,0.1325198716404491,97.54667624365538,0.3206959747411525,1.066838476983625,148,6872,46.432432432432435,large_dense
md22_dha,29.379466292448342,0.2878755598836471,49.15021285414696,1.853752748278968,0.5977485057823001,56,1406,25.107142857142858,small_sparse
md22_double_walled_nanotube,367.5480339676142,0.10648078607632383,363.698288006708,0.21932637883359382,1.0105849988516722,370,24024,64.92972972972973,large_dense
md22_stachyose,51.79843730293214,0.0718455904984694,53.115194872953,0.39346336155287687,0.9752093996233954,87,3532,40.59770114942529,large_dense
mptrj,425.4814149811864,0.136312547353129,420.71126175578684,0.23763271338445394,1.0113383064800592,444,27612,62.189189189189186,large_dense
oc20_s2ef_train_20m,125.48037192318588,0.11762951672935287,118.98749540559947,0.24489263756469568,1.0545677215530402,225,8260,36.71111111111111,large_sparse
oc20_s2ef_train_2m,163.39146797545254,0.1850424872509146,160.5273093096912,0.20257005033564005,1.0178421894572205,225,10738,47.724444444444444,large_dense
oc20_s2ef_val_id,230.7244974654168,0.24885386937104506,227.48780974652618,0.27217518191151735,1.0142279611487623,225,15230,67.68888888888888,large_dense
oc20_s2ef_val_ood_ads,102.85658675711602,0.184249529304664,96.57067931257188,1.0102131978993734,1.065091262578763,225,6686,29.715555555555557,large_sparse
oc20_s2ef_val_ood_both,174.43758137524128,0.14879398450797973,171.83799822814763,0.19153867946609066,1.0151281042254823,223,11486,51.506726457399104,large_dense
oc20_s2ef_val_ood_cat,156.07421009335667,0.12201798705171024,152.63956461567432,0.2764868540560833,1.0225016723962121,225,10270,45.644444444444446,large_dense
oc22_s2ef_train,216.1639423109591,0.11484698884683922,213.47033116035163,0.21806601697149589,1.0126181991472347,228,14238,62.44736842105263,large_dense
oc22_s2ef_val_id,179.0389308007434,0.1588759606073099,176.91849265247583,0.6182791296846062,1.0119853957405842,200,11704,58.52,large_dense
oc22_s2ef_val_ood,280.3009585943073,0.09874459662493398,277.4118079803884,0.24150386416606304,1.0104146634382742,216,18264,84.55555555555556,large_dense
omat24_1m_official,232.52108281012625,0.2556810438126654,229.51046687085181,0.2998438861769821,1.0131175539848845,160,15224,95.15,large_dense
omol25_train_4m,293.36429168470204,0.18183724934052942,290.3214715886861,0.2130697952599342,1.0104808648129437,350,19152,54.72,large_dense
omol25_train_neutral,150.31542009674013,0.1372316907172892,146.151217748411,0.23036736567394828,1.0284924232071573,181,9926,54.83977900552486,large_dense
omol25_validation,274.19488648884,0.13969429981288015,271.65207699872553,0.4046366477072093,1.0093605376340502,350,17972,51.348571428571425,large_dense
phonondb_pbe,29.368734592571855,0.18417747727849418,47.74914663285017,0.2894805130228878,0.6150630254901127,8,208,26.0,small_sparse
qm9_hf,29.40622386522591,0.17210316919232482,48.07258027140051,0.20641223623575047,0.6117047119004002,29,570,19.655172413793103,small_sparse
rmd17,29.476173082366586,0.1687289725569441,48.049316997639835,0.26572318531339695,0.6134566508783974,24,366,15.25,small_sparse
salex_train_official,152.02908711507916,0.24274710325422166,147.97975244000554,0.15310708550007765,1.027364113051313,132,9932,75.24242424242425,large_dense
salex_val_official,200.9452628204599,0.09913171520689668,198.32205441780388,0.29518639183378087,1.0132270130538772,128,13088,102.25,large_dense
spice_2023,30.61731008347124,0.22999089976588935,49.85837347339839,0.3449410194614801,0.6140856179314976,89,728,8.179775280898877,small_sparse
wbm_initial,34.77846987079829,0.2342655236672065,48.96081783808768,0.24978430942758362,0.7103326988084616,100,2260,22.6,small_sparse
