dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
ani1ccx,055:0,spice,55,e3nn_baseline,baseline,3,10,cuda,31.833992525935173,0.4398851714892866,31.763374456204474,32.58928944123909,254.24471901108822,213.4173007553281,0.0,9.5367431640625e-07
ani1ccx,055:0,spice,55,e3nn_pair_full,full,3,10,cuda,48.29108465928584,0.205224307405854,48.317950568161905,48.52954882662743,236.40526132658124,135.9148338332521,0.0,1.1920928955078125e-06
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,baseline,3,10,cuda,31.5002522431314,0.3156348405716656,31.356220482848585,32.014534750487655,111.97614258465667,40.58482750748894,0.0,1.3113021850585938e-06
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,full,3,10,cuda,48.59277354553342,0.4293138233881927,48.519053612835705,49.240665149409324,137.44141068309546,57.098967185867,0.0,2.2649765014648438e-06
iso17,iso17,spice,19,e3nn_baseline,baseline,3,10,cuda,29.38942515756935,0.18112837459692188,29.33436748571694,29.706816794350743,111.72790134636064,39.810068542205094,0.0,1.3709068298339844e-06
iso17,iso17,spice,19,e3nn_pair_full,full,3,10,cuda,47.90670149959624,0.24321644694676417,47.84260340966284,48.32393112592399,131.80668970259526,50.82287102796412,0.0,1.430511474609375e-06
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_baseline,baseline,3,10,cuda,29.285156726837158,0.12947566167996044,29.28121096920222,29.4877290725708,112.08942431646089,40.086424593281215,0.0,1.1920928955078125e-06
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,e3nn_pair_full,full,3,10,cuda,48.875236068852246,0.3722444004612053,48.74957795254886,49.513903085608035,134.88983688876033,53.82428703219336,0.0,1.6689300537109375e-06
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_baseline,baseline,3,10,cuda,29.31396292988211,0.18888267681551948,29.297549510374665,29.615864891093224,111.89592606388032,39.91123250174963,0.0,3.0994415283203125e-06
md22_at_at,md22_AT-AT_12521,spice,60,e3nn_pair_full,full,3,10,cuda,48.27208698261529,0.3103374515286291,48.27346187084913,48.716790915932506,134.8324263623605,54.58143453385299,0.0,2.86102294921875e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_baseline,baseline,3,10,cuda,55.03281804267317,0.3510377489619519,54.826379055157304,55.62942005926743,128.1717779735724,46.4563644136056,0.0,1.9073486328125e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,e3nn_pair_full,full,3,10,cuda,55.24573237635195,0.2867027258377253,55.24758587125689,55.63919517444447,146.49963836806515,63.27833012217052,0.0,3.5762786865234375e-06
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,e3nn_baseline,baseline,3,10,cuda,104.06654751859605,0.1325198716404491,104.08334201201797,104.24871777649969,173.3472510240972,44.83968720774117,0.0,1.6689300537109375e-06
