dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
ani1ccx,055:0,spice,55,e3nn_baseline,0,32.057350035756826,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,1,31.824034871533513,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,2,31.84820106253028,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,3,32.480835914611816,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,4,32.67802414484322,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,5,31.702714040875435,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,6,31.47356817498803,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,7,31.52409102767706,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,8,31.588264042511582,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,9,31.162841944023967,baseline,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,0,48.53029502555728,full,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,1,48.52863680571318,full,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,2,48.425384098663926,full,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,3,48.47679799422622,full,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,4,48.12013288028538,full,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,5,47.976003028452396,full,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,6,48.16223797388375,full,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,7,48.01876284182072,full,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,8,48.21051703765988,full,3,10,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,9,48.46207890659571,full,3,10,cuda
