dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,0,32.02743083238602,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,1,31.99877287261188,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,2,31.712947878986597,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,3,31.688500894233584,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,4,31.347241019830108,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,5,31.17485297843814,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,6,31.348638935014606,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,7,31.1574749648571,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,8,31.182860024273396,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_baseline,9,31.363802030682564,baseline,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,0,49.46042806841433,full,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,1,48.97206602618098,full,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,2,48.78488904796541,full,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,3,48.418567050248384,full,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,4,48.61100809648633,full,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,5,48.42709912918508,full,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,6,48.810698091983795,full,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,7,48.34644985385239,full,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,8,47.774190083146095,full,3,10,cuda
ani1x,ani1x-release_416625,spice,63,e3nn_pair_full,9,48.32234000787139,full,3,10,cuda
