dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
iso17,iso17,spice,19,e3nn_baseline,0,29.881276888772845,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_baseline,1,29.493587790057063,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_baseline,2,29.254619032144547,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_baseline,3,29.41212384030223,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_baseline,4,29.334235936403275,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_baseline,5,29.248110949993134,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_baseline,6,29.334499035030603,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_baseline,7,29.269529972225428,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_baseline,8,29.262869153171778,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_baseline,9,29.403398977592587,baseline,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,0,48.516968032345176,full,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,1,47.834984958171844,full,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,2,47.94960515573621,full,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,3,47.68196609802544,full,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,4,48.08799712918699,full,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,5,47.741091111674905,full,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,6,47.985845943912864,full,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,7,47.7923508733511,full,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,8,47.62598383240402,full,3,10,cuda
iso17,iso17,spice,19,e3nn_pair_full,9,47.85022186115384,full,3,10,cuda
