dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,0,30.017746845260262,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,1,29.527183854952455,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,2,29.10601207986474,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,3,29.469673987478018,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,4,28.998701833188534,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,5,29.5969161670655,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,6,29.213163070380688,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,7,29.35602399520576,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,8,29.434816213324666,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_baseline,9,29.074424877762794,baseline,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,0,52.72488296031952,full,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,1,52.867278922349215,full,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,2,49.107020953670144,full,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,3,48.5324920155108,full,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,4,48.08979807421565,full,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,5,47.990244114771485,full,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,6,48.21109608747065,full,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,7,47.88711108267307,full,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,8,48.03592315874994,full,3,10,cuda
md22_dha,md22_DHA_45597,spice,56,e3nn_pair_full,9,48.0562811717391,full,3,10,cuda
