dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,0,163.6872529052198,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,1,163.32939988933504,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,2,163.33577199839056,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,3,163.50581403821707,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,4,163.38319703936577,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,5,163.64587703719735,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,6,163.52376295253634,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,7,163.2095139939338,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,8,163.14808488823473,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_baseline,9,163.14600501209497,baseline,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,0,160.84946412593126,full,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,1,160.5201899074018,full,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,2,160.47908109612763,full,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,3,160.60694493353367,full,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,4,160.55046394467354,full,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,5,160.74130800552666,full,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,6,160.38823686540127,full,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,7,160.2105009369552,full,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,8,160.71209614165127,full,3,10,cuda
oc20_s2ef_train_2m,frame27,oc20,225,e3nn_pair_full,9,160.2148071397096,full,3,10,cuda
