dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,0,216.04450908489525,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,1,216.3184811361134,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,2,216.17517690174282,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,3,216.3046409841627,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,4,216.15231106989086,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,5,216.09570900909603,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,6,216.14664187654853,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,7,216.25427599065006,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,8,216.22273698449135,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_baseline,9,215.92494007200003,baseline,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,0,213.62048503942788,full,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,1,213.65345316007733,full,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,2,213.38116005063057,full,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,3,213.04257889278233,full,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,4,213.66508584469557,full,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,5,213.60656479373574,full,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,6,213.7011040467769,full,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,7,213.52271595969796,full,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,8,213.14698294736445,full,3,10,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,e3nn_pair_full,9,213.36318086832762,full,3,10,cuda
