dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,0,232.51850111410022,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,1,232.36846807412803,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,2,232.29967104271054,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,3,232.44564491324127,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,4,232.1742009371519,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,5,232.72514808923006,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,6,232.83451795578003,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,7,233.024544082582,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,8,232.27335093542933,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,9,232.54678095690906,baseline,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,0,230.0043769646436,full,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,1,229.31204503402114,full,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,2,229.07167999073863,full,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,3,229.72256899811327,full,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,4,229.76842895150185,full,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,5,229.56446977332234,full,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,6,229.80746906250715,full,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,7,229.35243090614676,full,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,8,229.07665208913386,full,3,10,cuda
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,9,229.42454693838954,full,3,10,cuda
