dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,0,293.21430693380535,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,1,293.7560249119997,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,2,293.34807489067316,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,3,293.63230406306684,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,4,293.3927420526743,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,5,293.2855309918523,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,6,293.2349790353328,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,7,293.3631001506001,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,8,293.2785248849541,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,9,293.1373289320618,baseline,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,0,290.8291679341346,full,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,1,290.27322912588716,full,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,2,290.30081210657954,full,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,3,290.3585429303348,full,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,4,290.28289299458265,full,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,5,290.06712208501995,full,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,6,290.3038610238582,full,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,7,290.4044119641185,full,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,8,289.9876788724214,full,3,10,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,9,290.4069968499243,full,3,10,cuda
