dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
qm9_hf,0_3057,qcml,29,e3nn_baseline,0,29.671366093680263,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,1,29.366231057792902,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,2,29.42578517831862,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,3,29.09386600367725,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,4,29.667525086551905,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,5,29.506820952519774,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,6,29.271697159856558,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,7,29.410039074718952,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,8,29.41517997533083,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_baseline,9,29.23372806981206,baseline,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,0,48.506541876122355,full,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,1,48.325167037546635,full,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,2,48.15866705030203,full,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,3,47.984259901568294,full,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,4,47.98965808004141,full,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,5,48.173424787819386,full,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,6,47.88210615515709,full,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,7,47.80298192054033,full,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,8,47.910298919305205,full,3,10,cuda
qm9_hf,0_3057,qcml,29,e3nn_pair_full,9,47.99269698560238,full,3,10,cuda
