dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,0,151.9247959367931,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,1,151.939864968881,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,2,151.58361801877618,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,3,151.89743204973638,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,4,151.93218598142266,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,5,152.39077107980847,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,6,152.23339898511767,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,7,151.97647199966013,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,8,151.9746300764382,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,9,152.43770205415785,baseline,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,0,148.17184605635703,full,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,1,148.17514596506953,full,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,2,147.76282012462616,full,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,3,147.97871699556708,full,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,4,148.09893211349845,full,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,5,147.94219890609384,full,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,6,147.86657108925283,full,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,7,148.0846379417926,full,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,8,148.00557820126414,full,3,10,cuda
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,9,147.71107700653374,full,3,10,cuda
