dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
mptrj,444,baseline,forward_energy,forward,14042.138000000003,46382.742999999915,810.544999999996,32
mptrj,444,baseline,forward_energy,aten::mm,2620.139000000011,22867.098999999973,1460.9380000000006,214
mptrj,444,baseline,forward_energy,aten::tensordot,4289.376999999984,22036.49499999996,447.2879999999825,199
mptrj,444,baseline,forward_energy,ampere_sgemm_64x64_nn,0.0,20919.12999999999,0.0,165
mptrj,444,baseline,forward_energy,aten::einsum,4895.975000000012,13675.55199999996,796.5200000000209,308
mptrj,444,baseline,forward_energy,aten::mul,4155.8780000000115,13308.952999999972,1944.4020000000432,508
mptrj,444,baseline,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,12633.10399999996,0.0,280
mptrj,444,baseline,forward_energy,aten::cat,700.3039999999944,10105.83000000002,361.504999999999,42
mptrj,444,baseline,forward_energy,"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0.0,10019.300000000021,0.0,31
mptrj,444,baseline,forward_energy,aten::scatter_reduce_,125.3459999999975,4927.824999999988,48.38399999999615,5
