dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: SliceBackward0,48532.480999999665,238003.58999999939,1619.0160000002215,635
mptrj,444,full_legacy,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0.0,204151.26100000023,0.0,1030
mptrj,444,full_legacy,force_model,aten::add_,21678.30999999981,188842.03400000054,1287.8919999993523,873
mptrj,444,full_legacy,force_model,aten::slice_backward,30125.899000000936,62959.18299999919,747.7630000022473,635
mptrj,444,full_legacy,force_model,SliceBackward0,30366.52099999947,62959.18299999919,240.62199999853328,635
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: MulBackward0,37402.238999999885,62209.360000000175,1846.8289999989502,585
mptrj,444,full_legacy,force_model,aten::mul,31629.579000000547,57692.26799999998,6703.747000000371,2174
mptrj,444,full_legacy,force_model,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,56417.86299999979,0.0,1594
mptrj,444,full_legacy,force_model,aten::fill_,13507.778999999435,55172.38899999938,833.1570000002283,720
mptrj,444,full_legacy,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",0.0,55170.69299999938,0.0,716
mptrj,444,full_legacy,force_model,aten::zero_,14001.41699999981,55168.258999999314,512.2680000003634,715
mptrj,444,full_legacy,force_model,aten::zeros,15112.319999999314,54650.8789999993,387.4749999993985,653
mptrj,444,full_legacy,force_model,MulBackward0,23467.903000000224,45131.189999999915,714.4629999999161,585
mptrj,444,full_legacy,force_model,forward,17737.319999999974,45113.64299999993,1238.4549999998997,37
mptrj,444,full_legacy,force_model,aten::mm,6385.117999999815,36532.90999999992,3645.3619999988923,652
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: PermuteBackward0,7314.996999999697,25282.96199999981,2447.4380000005185,1609
mptrj,444,full_legacy,force_model,aten::tensordot,4687.593000000022,21994.156999999963,668.9010000000874,319
mptrj,444,full_legacy,force_model,aten::sum,12128.902000000642,17089.473000000187,1878.085000001316,582
mptrj,444,full_legacy,force_model,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",0.0,17044.399000000165,0.0,576
mptrj,444,full_legacy,force_model,aten::add,4545.3429999996015,15854.079999999914,573.0759999995316,194
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: MmBackward0,5271.808000000383,14303.135999999926,712.5249999997468,318
mptrj,444,full_legacy,force_model,MmBackward0,4546.975000000646,14296.667999999932,332.66700000067067,318
mptrj,444,full_legacy,force_model,ampere_sgemm_32x128_nn,0.0,14218.540999999976,0.0,188
mptrj,444,full_legacy,force_model,aten::einsum,6806.356000000008,12500.686999999924,1414.0069999999346,581
mptrj,444,full_legacy,force_model,ampere_sgemm_64x64_tn,0.0,10909.344000000128,0.0,163
mptrj,444,full_legacy,force_model,aten::cat,572.7290000000044,9897.319000000007,472.78299999998626,48
mptrj,444,full_legacy,force_model,"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0.0,9808.486000000008,0.0,37
mptrj,444,full_legacy,force_model,aten::copy_,15193.394999999979,9460.447999999871,1601.213000000481,936
mptrj,444,full_legacy,force_model,ampere_sgemm_64x64_nn,0.0,6767.759000000016,0.0,80
mptrj,444,full_legacy,force_model,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0.0,6276.254999999851,0.0,823
mptrj,444,full_legacy,force_model,aten::scatter_reduce_,332.2259999999533,5401.3950000000605,161.07399999995414,13
mptrj,444,full_legacy,force_model,"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, float>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, float>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1})",0.0,5243.086000000056,0.0,13
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: ScatterReduceBackward0,148.38500000003842,4792.661999999997,48.23999999999069,10
mptrj,444,full_legacy,force_model,ScatterReduceBackward0,100.14500000004773,4792.661999999997,21.716999999975087,10
mptrj,444,full_legacy,force_model,aten::gather,78.42800000007264,4792.661999999997,53.35000000000582,10
mptrj,444,full_legacy,force_model,"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<false, at::native::OpaqueType<4> >::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<false, at::native::OpaqueType<4> >::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1})",0.0,4792.661999999997,0.0,10
mptrj,444,full_legacy,force_model,Memcpy DtoD (Device -> Device),0.0,3178.46500000002,0.0,108
mptrj,444,full_legacy,force_model,ampere_sgemm_32x128_tn,0.0,2737.1549999999406,0.0,106
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: UnsqueezeBackward0,8273.062000000209,2520.0210000006773,1536.8750000001455,874
mptrj,444,full_legacy,force_model,aten::bmm,2208.1579999999976,2518.3469999997615,671.4599999996826,132
mptrj,444,full_legacy,force_model,IndexBackward0,222509.05999999994,2116.6870000001218,13.75099999991653,5
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: IndexBackward0,222522.077,2116.6870000001218,13.017000000036205,5
mptrj,444,full_legacy,force_model,aten::_index_put_impl_,222426.954,1661.1770000000688,89.83899999980349,5
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: ExpandBackward0,117.87000000005355,1521.4139999999607,63.558000000193715,41
mptrj,444,full_legacy,force_model,"void (anonymous namespace)::indexing_backward_kernel<float, 4>(long const*, long const*, float const*, float*, long, long, long, long, bool)",0.0,1505.3600000000588,0.0,5
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: BmmBackward0,2127.483000000182,1491.9309999997931,115.33400000020629,48
mptrj,444,full_legacy,force_model,BmmBackward0,2012.1489999999758,1491.9309999997931,98.12400000005437,48
mptrj,444,full_legacy,force_model,aten::index,43917.24999999999,1096.4319999999561,110.57399999999325,12
mptrj,444,full_legacy,force_model,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1})",0.0,1009.0079999999925,0.0,7
mptrj,444,full_legacy,force_model,aten::clone,1649.5700000002357,924.2119999999512,200.19900000000104,222
mptrj,444,full_legacy,force_model,autograd::engine::evaluate_function: IndexSelectBackward0,358.2509999999311,923.0739999998477,68.63199999988137,20
mptrj,444,full_legacy,force_model,IndexSelectBackward0,250.23700000002282,867.7889999999607,13.8310000000929,20
mptrj,444,full_legacy,force_model,aten::index_select_backward,236.40599999992992,867.7889999999607,17.678999999843654,20
mptrj,444,full_legacy,force_model,"void at::native::indexFuncLargeIndex<float, long, unsigned int, 2, 2, -2, true, at::native::(anonymous namespace)::ReduceAdd>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long, long, at::native::(anonymous namespace)::ReduceAdd const&, float)",0.0,837.5710000000108,0.0,20
mptrj,444,full_legacy,force_model,aten::index_add_,98.5530000000872,837.5710000000108,61.73300000006566,20
mptrj,444,full_legacy,force_model,aten::reshape,5207.804000000358,709.1619999999539,1947.204000001136,4553
mptrj,444,full_legacy,force_model,ampere_sgemm_128x128_nn,0.0,706.2979999999243,0.0,15
