dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
mptrj,444,full_legacy,forward_energy,forward,17726.823000000022,45592.84500000005,1169.1520000001274,37
mptrj,444,full_legacy,forward_energy,aten::mm,2611.5739999999914,22512.09500000001,1873.1399999999016,334
mptrj,444,full_legacy,forward_energy,aten::tensordot,4896.974000000057,22270.30000000001,674.5310000000754,319
mptrj,444,full_legacy,forward_energy,ampere_sgemm_32x128_nn,0.0,14302.896000000017,0.0,188
mptrj,444,full_legacy,forward_energy,aten::einsum,6544.114000000031,12585.65700000004,1398.228000000061,581
mptrj,444,full_legacy,forward_energy,aten::mul,4490.8339999999,12345.944000000018,2982.6039999999075,868
mptrj,444,full_legacy,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,11525.960000000034,0.0,537
mptrj,444,full_legacy,forward_energy,aten::cat,639.8609999999921,9990.628999999999,471.10400000000345,47
mptrj,444,full_legacy,forward_energy,"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0.0,9896.708000000002,0.0,36
mptrj,444,full_legacy,forward_energy,ampere_sgemm_64x64_nn,0.0,6918.936999999987,0.0,80
mptrj,444,full_legacy,forward_energy,aten::scatter_reduce_,292.61400000000003,5386.393999999998,96.14199999999391,10
mptrj,444,full_legacy,forward_energy,"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, float>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, float>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1})",0.0,5230.710000000001,0.0,10
mptrj,444,full_legacy,forward_energy,aten::index,35528.435000000005,1100.2099999999796,85.68599999998787,12
mptrj,444,full_legacy,forward_energy,aten::bmm,351.7949999999819,1067.4090000000047,270.26399999998193,48
mptrj,444,full_legacy,forward_energy,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1})",0.0,1008.3379999999956,0.0,7
mptrj,444,full_legacy,forward_energy,aten::index_select,464.15300000000593,665.0650000000055,157.6739999999786,45
mptrj,444,full_legacy,forward_energy,"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0.0,610.1860000000105,0.0,23
mptrj,444,full_legacy,forward_energy,aten::copy_,878.1449999999863,603.310999999992,306.8509999999675,149
mptrj,444,full_legacy,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,562.3779999999913,0.0,157
mptrj,444,full_legacy,forward_energy,aten::matmul,115.99099999999385,562.0250000000055,7.752999999992426,15
mptrj,444,full_legacy,forward_energy,aten::clone,1387.2789999999836,554.638999999992,129.72300000002127,116
mptrj,444,full_legacy,forward_energy,ampere_sgemm_128x64_nn,0.0,498.82600000001185,0.0,11
mptrj,444,full_legacy,forward_energy,ampere_sgemm_128x128_nn,0.0,465.9269999999965,0.0,3
mptrj,444,full_legacy,forward_energy,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 6, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",0.0,450.91800000000785,0.0,24
