dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
mptrj,444,full_no_expand,force_model,autograd::engine::evaluate_function: SliceBackward0,37310.395000000346,237965.78300000096,1596.1299999997427,635
mptrj,444,full_no_expand,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0.0,204119.98300000033,0.0,1030
mptrj,444,full_no_expand,force_model,aten::add_,21412.999000000695,188796.39600000015,1279.7940000006347,872
mptrj,444,full_no_expand,force_model,aten::slice_backward,23180.575999999688,62953.219000000565,654.760999999984,635
mptrj,444,full_no_expand,force_model,SliceBackward0,23427.96399999981,62953.219000000565,247.3880000001227,635
mptrj,444,full_no_expand,force_model,autograd::engine::evaluate_function: MulBackward0,43133.11100000059,62180.28300000005,1811.546999999955,585
mptrj,444,full_no_expand,force_model,aten::mul,35519.166999999354,57703.715999999855,6733.876999998693,2177
mptrj,444,full_no_expand,force_model,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,56422.58199999974,0.0,1594
mptrj,444,full_no_expand,force_model,aten::fill_,10462.099000000468,55160.920999999595,827.4139999999767,714
mptrj,444,full_no_expand,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",0.0,55159.1609999996,0.0,710
mptrj,444,full_no_expand,force_model,aten::zero_,10945.070999999807,55156.79099999958,501.18299999936266,709
mptrj,444,full_no_expand,force_model,aten::zeros,12113.94100000065,54651.06599999962,433.8780000013396,653
mptrj,444,full_no_expand,force_model,forward,17731.041000000012,45137.89099999997,1192.8560000000334,37
mptrj,444,full_no_expand,force_model,MulBackward0,28997.562000000486,45114.11000000002,674.8800000004921,585
mptrj,444,full_no_expand,force_model,aten::mm,9104.797999999882,36504.72700000006,3659.0159999994557,652
mptrj,444,full_no_expand,force_model,autograd::engine::evaluate_function: PermuteBackward0,8857.080000000264,25281.84300000024,2408.4750000008935,1609
