dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
mptrj,444,full_no_expand,forward_energy,forward,17141.934000000005,45085.627000000095,1125.0309999999083,37
mptrj,444,full_no_expand,forward_energy,aten::mm,2437.8279999999686,22250.694000000025,1848.543999999922,334
mptrj,444,full_no_expand,forward_energy,aten::tensordot,4620.965000000032,22013.252000000022,670.2270000001251,319
mptrj,444,full_no_expand,forward_energy,ampere_sgemm_32x128_nn,0.0,14224.200000000008,0.0,188
mptrj,444,full_no_expand,forward_energy,aten::einsum,6528.303000000033,12430.448000000062,1393.5200000000739,581
mptrj,444,full_no_expand,forward_energy,aten::mul,4358.401000000009,12201.098000000067,2958.4339999999847,866
mptrj,444,full_no_expand,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,11409.95600000007,0.0,536
mptrj,444,full_no_expand,forward_energy,aten::cat,539.4100000000121,9916.030000000006,447.86000000000536,47
mptrj,444,full_no_expand,forward_energy,"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0.0,9828.47900000001,0.0,36
mptrj,444,full_no_expand,forward_energy,ampere_sgemm_64x64_nn,0.0,6776.013999999998,0.0,80
mptrj,444,full_no_expand,forward_energy,aten::scatter_reduce_,228.97200000000225,5385.976999999998,87.58899999996856,10
mptrj,444,full_no_expand,forward_energy,"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, float>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, float>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1})",0.0,5226.997999999992,0.0,10
mptrj,444,full_no_expand,forward_energy,aten::index,35897.008,1141.618000000005,103.68200000000184,17
mptrj,444,full_no_expand,forward_energy,aten::bmm,352.93900000000076,1025.5809999999929,270.63700000000745,48
mptrj,444,full_no_expand,forward_energy,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1})",0.0,1024.7519999999977,0.0,12
mptrj,444,full_no_expand,forward_energy,aten::index_select,280.03099999999245,607.1099999999922,126.71899999997072,33
mptrj,444,full_no_expand,forward_energy,aten::copy_,845.9470000000262,594.7630000000313,296.18300000002074,148
mptrj,444,full_no_expand,forward_energy,aten::matmul,112.90099999999825,555.2720000000154,7.6609999999905085,15
mptrj,444,full_no_expand,forward_energy,"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0.0,553.5129999999891,0.0,11
mptrj,444,full_no_expand,forward_energy,aten::clone,1245.9439999999795,550.7310000000302,121.36399999994052,116
mptrj,444,full_no_expand,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,549.3770000000113,0.0,157
mptrj,444,full_no_expand,forward_energy,ampere_sgemm_128x64_nn,0.0,475.9110000000028,0.0,11
mptrj,444,full_no_expand,forward_energy,ampere_sgemm_128x128_nn,0.0,464.67900000000645,0.0,3
mptrj,444,full_no_expand,forward_energy,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 6, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",0.0,435.81399999999303,0.0,24
mptrj,444,full_no_expand,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0.0,411.336000000028,0.0,116
mptrj,444,full_no_expand,forward_energy,aten::reshape,2799.1810000000323,372.2000000000244,985.1849999999472,2311
mptrj,444,full_no_expand,forward_energy,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 5, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",0.0,365.02800000000025,0.0,12
mptrj,444,full_no_expand,forward_energy,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",0.0,238.43599999999014,0.0,170
mptrj,444,full_no_expand,forward_energy,ampere_sgemm_128x128_nt,0.0,224.73899999999958,0.0,12
mptrj,444,full_no_expand,forward_energy,aten::add,136.71800000000246,197.53899999999487,96.53299999999149,23
mptrj,444,full_no_expand,forward_energy,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0.0,196.5469999999948,0.0,22
mptrj,444,full_no_expand,forward_energy,Memcpy DtoD (Device -> Device),0.0,179.55500000000347,0.0,27
mptrj,444,full_no_expand,forward_energy,ampere_sgemm_32x32_sliced1x4_nn,0.0,145.82499999999482,0.0,37
mptrj,444,full_no_expand,forward_energy,ampere_sgemm_64x32_sliced1x4_nn,0.0,110.11300000001029,0.0,14
mptrj,444,full_no_expand,forward_energy,aten::fill_,116.52199999998902,107.4570000000009,56.92899999999884,36
mptrj,444,full_no_expand,forward_energy,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",0.0,105.76100000000099,0.0,32
mptrj,444,full_no_expand,forward_energy,aten::zero_,143.3149999999971,105.76100000000088,35.031000000008135,34
mptrj,444,full_no_expand,forward_energy,aten::nonzero,35737.060999999994,97.24900000000662,193.96899999999619,15
mptrj,444,full_no_expand,forward_energy,"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 64, 64>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0.0,87.55099999999516,0.0,11
mptrj,444,full_no_expand,forward_energy,aten::zeros,103.02999999999906,86.40099999999848,13.9370000000049,12
mptrj,444,full_no_expand,forward_energy,aten::div,140.98800000001245,70.75599999998542,99.75800000000925,23
mptrj,444,full_no_expand,forward_energy,aten::silu,171.3539999999971,59.68700000002832,112.07900000000495,33
mptrj,444,full_no_expand,forward_energy,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, false, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float const*, float const*, float const*, float const*)",0.0,52.3190000000036,0.0,21
mptrj,444,full_no_expand,forward_energy,"void at::native::(anonymous namespace)::indexSelectLargeIndex<long, long, unsigned int, 1, 1, -2, true>(at::cuda::detail::TensorInfo<long, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0.0,51.710000000003106,0.0,21
mptrj,444,full_no_expand,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})",0.0,45.40899999999783,0.0,7
mptrj,444,full_no_expand,forward_energy,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",0.0,32.32299999999964,0.0,14
mptrj,444,full_no_expand,forward_energy,"void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::device_select_policy_hub<long, bool, int, false, false>::Policy900, at_cuda_detail::cub::CountingInputIterator<long, long>, at_cuda_detail::cub::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, long*, int*, at_cuda_detail::cub::ScanTileState<int, true>, at_cuda_detail::cub::NullType, at_cuda_detail::cub::NullType, int, false>(at_cuda_detail::cub::CountingInputIterator<long, long>, at_cuda_detail::cub::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, long*, int*, at_cuda_detail::cub::ScanTileState<int, true>, at_cuda_detail::cub::NullType, at_cuda_detail::cub::NullType, int, int, at_cuda_detail::cub::detail::vsmem_t)",0.0,29.536999999998443,0.0,15
mptrj,444,full_no_expand,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0.0,27.364000000028682,0.0,19
mptrj,444,full_no_expand,forward_energy,"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",0.0,25.346999999987588,0.0,16
mptrj,444,full_no_expand,forward_energy,"void at_cuda_detail::cub::DeviceReduceKernel<at_cuda_detail::cub::DeviceReducePolicy<int, unsigned long long, cuda::std::__4::plus<void> >::Policy600, at_cuda_detail::cub::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, unsigned long long, cuda::std::__4::plus<void>, int, cuda::std::__4::__identity>(at_cuda_detail::cub::TransformInputIterator<bool, at::native::(anonymous namespace)::NonZeroOp<bool>, bool const*, long>, int*, unsigned long long, at_cuda_detail::cub::GridEvenShare<unsigned long long>, cuda::std::__4::plus<void>, cuda::std::__4::__identity)",0.0,24.12699999999586,0.0,15
mptrj,444,full_no_expand,forward_energy,<forward op>,150.44299999999703,21.823999999981424,16.184999999977663,21
mptrj,444,full_no_expand,forward_energy,_spherical_harmonics,188.14800000000014,21.633000000000266,20.234999999999786,1
mptrj,444,full_no_expand,forward_energy,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<8> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<8> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<8> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<8> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1})",0.0,19.617000000000644,0.0,5
mptrj,444,full_no_expand,forward_energy,aten::new_zeros,140.23000000000775,19.3600000000024,20.300000000004047,22
mptrj,444,full_no_expand,forward_energy,"void at_cuda_detail::cub::DeviceReduceSingleTileKernel<at_cuda_detail::cub::DeviceReducePolicy<int, unsigned long long, cuda::std::__4::plus<void> >::Policy600, int*, int*, int, cuda::std::__4::plus<void>, int, int, cuda::std::__4::__identity>(int*, int*, int, cuda::std::__4::plus<void>, int, cuda::std::__4::__identity)",0.0,18.52800000001116,0.0,15
mptrj,444,full_no_expand,forward_energy,Memcpy DtoH (Device -> Pinned),0.0,13.537999999995918,0.0,16
mptrj,444,full_no_expand,forward_energy,"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, true>, int*>(at_cuda_detail::cub::ScanTileState<int, true>, int, int*)",0.0,12.383000000006632,0.0,15
mptrj,444,full_no_expand,forward_energy,fallback_function,121.99900000000025,9.761000000000195,26.875999999999976,9
mptrj,444,full_no_expand,forward_energy,aten::stack,20.936999999999898,7.008000000000038,5.85799999999972,1
mptrj,444,full_no_expand,forward_energy,aten::one_hot,32.20100000000002,5.310999999999922,3.519999999999982,2
mptrj,444,full_no_expand,forward_energy,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4>)",0.0,4.41599999999994,0.0,2
mptrj,444,full_no_expand,forward_energy,aten::linalg_vector_norm,23.039999999999964,4.41599999999994,17.03800000000001,2
mptrj,444,full_no_expand,forward_energy,aten::where,34.490999999999985,4.159999999999968,9.355999999999995,2
mptrj,444,full_no_expand,forward_energy,aten::_to_copy,35.631000000000085,3.8719999999998436,5.489999999999895,4
mptrj,444,full_no_expand,forward_energy,aten::to,39.791000000005965,3.8719999999998436,4.16000000000588,18
mptrj,444,full_no_expand,forward_energy,aten::scatter_,12.103000000000065,3.615000000000009,7.231999999999971,2
mptrj,444,full_no_expand,forward_energy,"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_fill_internal_kernel<at::native::OpaqueType<8> >::operator()<at::native::TensorAssign>(at::TensorIterator&, at::native::OpaqueType<8>, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_fill_internal_kernel<at::native::OpaqueType<8> >::operator()<at::native::TensorAssign>(at::TensorIterator&, at::native::OpaqueType<8>, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1})",0.0,3.615000000000009,0.0,2
mptrj,444,full_no_expand,forward_energy,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",0.0,3.3289999999968813,0.0,3
mptrj,444,full_no_expand,forward_energy,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",0.0,3.1679999999998927,0.0,2
mptrj,444,full_no_expand,forward_energy,fused_mul_mul,0.0,3.1360000000001946,0.0,3
