dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
mptrj,444,baseline,force_model,aten::clone,8326.073000000086,845.3569999999345,805.5440000000476,205
mptrj,444,baseline,force_model,aten::empty_strided,1558.8110000000256,0.0,125.3610000000258,47
mptrj,444,baseline,force_model,Unrecognized,1386.2349999999997,0.0,1386.2349999999997,1
mptrj,444,baseline,force_model,aten::copy_,44439.812999999995,9195.885999999098,1227.8620000001893,687
mptrj,444,baseline,force_model,cudaMemcpyAsync,5313.058999999903,0.0,5313.058999999903,86
mptrj,444,baseline,force_model,Memcpy DtoD (Device -> Device),0.0,3302.4229999999534,0.0,80
mptrj,444,baseline,force_model,aten::to,340.7689999999984,4.128000000000156,9.501999999998134,51
mptrj,444,baseline,force_model,aten::_to_copy,331.2670000000003,4.128000000000156,10.01399999999876,4
mptrj,444,baseline,force_model,cudaStreamSynchronize,97599.31300000001,0.0,97599.31300000001,6
mptrj,444,baseline,force_model,Memcpy HtoD (Pageable -> Device),0.0,0.9270000000001346,0.0,2
mptrj,444,baseline,force_model,aten::index_select,419.00099999999975,1.6320000000000618,402.1109999999994,1
mptrj,444,baseline,force_model,aten::empty,1038.2140000002164,0.0,1038.2140000002164,669
mptrj,444,baseline,force_model,aten::resize_,14.308000000038192,0.0,14.308000000038192,8
mptrj,444,baseline,force_model,cudaLaunchKernel,272833.055000001,0.0,272833.055000001,4058
mptrj,444,baseline,force_model,"void at::native::(anonymous namespace)::indexSelectLargeIndex<long, long, unsigned int, 1, 1, -2, true>(at::cuda::detail::TensorInfo<long, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0.0,1.6320000000000618,0.0,1
mptrj,444,baseline,force_model,aten::lift_fresh,0.17000000000007276,0.0,0.17000000000007276,1
mptrj,444,baseline,force_model,aten::detach_,2.3720000000002983,0.0,1.3190000000004147,1
mptrj,444,baseline,force_model,detach_,1.0529999999998836,0.0,1.0529999999998836,1
mptrj,444,baseline,force_model,aten::linalg_norm,180.192,2.3040000000000873,145.8090000000002,1
mptrj,444,baseline,force_model,aten::linalg_vector_norm,48.402000000000044,4.256000000000313,37.33300000000099,2
mptrj,444,baseline,force_model,aten::as_strided,973.2329999998778,0.0,973.2329999998778,4713
mptrj,444,baseline,force_model,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4>)",0.0,4.256000000000313,0.0,2
mptrj,444,baseline,force_model,aten::unsqueeze,537.4160000000074,0.0,435.2620000000152,509
mptrj,444,baseline,force_model,aten::mul,63595.30900000015,59760.8700000002,4174.826999999386,1249
mptrj,444,baseline,force_model,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,58609.21200000023,0.0,835
