dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
qm9_hf,29,baseline,forward_energy,forward,12859.108999999999,4609.952999999978,780.677999999986,32
qm9_hf,29,baseline,forward_energy,aten::tensordot,4017.7459999999965,3391.5119999999824,437.2400000000082,199
qm9_hf,29,baseline,forward_energy,aten::mm,2418.5759999999877,3236.5669999999864,1321.1880000000067,214
qm9_hf,29,baseline,forward_energy,ampere_sgemm_64x64_nn,0.0,2273.1879999999987,0.0,50
qm9_hf,29,baseline,forward_energy,aten::mul,3210.1370000000193,896.9129999999948,1910.7080000000087,508
qm9_hf,29,baseline,forward_energy,aten::einsum,4299.840000000011,703.5300000000007,772.0380000000055,308
qm9_hf,29,baseline,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,595.176000000001,0.0,280
qm9_hf,29,baseline,forward_energy,ampere_sgemm_32x128_nn,0.0,378.95299999999224,0.0,70
qm9_hf,29,baseline,forward_energy,aten::copy_,775.6760000000002,340.60899999999333,282.9179999999995,134
qm9_hf,29,baseline,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0.0,316.6409999999944,0.0,116
