dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
qm9_hf,29,full_no_expand,force_model,aten::mm,5408.975000000004,8108.298999999843,3547.7020000001894,652
qm9_hf,29,full_no_expand,force_model,forward,18075.959,6442.706999999966,1199.335999999976,37
qm9_hf,29,full_no_expand,force_model,aten::tensordot,5019.645999999979,4784.298999999962,663.9589999999607,319
qm9_hf,29,full_no_expand,force_model,autograd::engine::evaluate_function: MulBackward0,9979.37499999993,4374.944999999898,1805.982,585
qm9_hf,29,full_no_expand,force_model,aten::mul,10309.312999999924,3652.0860000001203,6746.044000000047,2177
qm9_hf,29,full_no_expand,force_model,ampere_sgemm_64x64_nn,0.0,3509.3419999999805,0.0,190
qm9_hf,29,full_no_expand,force_model,autograd::engine::evaluate_function: MmBackward0,3917.4469999999747,3489.819999999898,665.6809999999678,318
qm9_hf,29,full_no_expand,force_model,MmBackward0,3238.974000000013,3485.251999999884,318.12499999998545,318
qm9_hf,29,full_no_expand,force_model,autograd::engine::evaluate_function: SliceBackward0,10072.403999999984,3290.66999999982,1625.8240000003243,635
qm9_hf,29,full_no_expand,force_model,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,2928.0750000000576,0.0,1594
qm9_hf,29,full_no_expand,force_model,ampere_sgemm_64x64_tn,0.0,2548.6839999999975,0.0,194
qm9_hf,29,full_no_expand,force_model,aten::sum,2843.362999999914,2319.82199999988,1875.7809999999808,582
qm9_hf,29,full_no_expand,force_model,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",0.0,2295.6239999998797,0.0,576
qm9_hf,29,full_no_expand,force_model,MulBackward0,5369.731000000011,2065.733000000022,654.7850000001199,585
qm9_hf,29,full_no_expand,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0.0,2058.567999999819,0.0,1030
qm9_hf,29,full_no_expand,force_model,aten::slice_backward,6662.277999999915,1949.320999999829,653.0689999999195,635
qm9_hf,29,full_no_expand,force_model,SliceBackward0,6907.432999999804,1949.320999999829,245.1549999998897,635
qm9_hf,29,full_no_expand,force_model,aten::add_,2623.4749999999112,1779.651999999929,1283.98699999995,872
qm9_hf,29,full_no_expand,force_model,aten::copy_,3502.697999999928,1493.0789999998692,1576.0009999999274,935
qm9_hf,29,full_no_expand,force_model,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0.0,1337.2469999998532,0.0,823
qm9_hf,29,full_no_expand,force_model,aten::fill_,1914.817999999851,1099.4210000000132,827.2849999996109,714
qm9_hf,29,full_no_expand,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",0.0,1097.6290000000133,0.0,710
qm9_hf,29,full_no_expand,force_model,aten::zero_,2393.3390000001914,1095.042000000032,496.4920000003526,709
qm9_hf,29,full_no_expand,force_model,aten::einsum,6836.9030000000475,1049.7180000000074,1419.2180000001092,581
qm9_hf,29,full_no_expand,force_model,aten::zeros,3624.215999999952,1043.6610000000005,452.94799999974407,653
qm9_hf,29,full_no_expand,force_model,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, false, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float const*, float const*, float const*, float const*)",0.0,831.4219999999455,0.0,345
qm9_hf,29,full_no_expand,force_model,aten::clone,1901.2719999999576,472.7280000000161,227.15799999987348,222
qm9_hf,29,full_no_expand,force_model,aten::reshape,5195.73799999992,397.6399999999842,1883.7829999999124,4563
qm9_hf,29,full_no_expand,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",0.0,382.184999999997,0.0,349
qm9_hf,29,full_no_expand,force_model,aten::add,849.5669999999927,335.31599999991704,544.3950000000061,194
qm9_hf,29,full_no_expand,force_model,autograd::engine::evaluate_function: UnsqueezeBackward0,3494.162000000164,327.4989999999598,1537.1489999998012,874
qm9_hf,29,full_no_expand,force_model,autograd::engine::evaluate_function: PermuteBackward0,4756.118000000137,320.6479999999174,2395.208000000086,1609
qm9_hf,29,full_no_expand,force_model,aten::bmm,1805.1919999999518,314.87800000004154,1563.1499999999587,132
qm9_hf,29,full_no_expand,force_model,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,304.8210000000829,0.0,202
qm9_hf,29,full_no_expand,force_model,ampere_sgemm_32x32_sliced1x4_nn,0.0,238.97999999999183,0.0,58
qm9_hf,29,full_no_expand,force_model,autograd::engine::evaluate_function: MulBackward1,1242.9860000000372,195.04900000001726,318.50900000001275,155
qm9_hf,29,full_no_expand,force_model,autograd::engine::evaluate_function: BmmBackward0,1703.5279999999802,183.41600000003746,117.48399999995308,48
qm9_hf,29,full_no_expand,force_model,BmmBackward0,1586.0440000000272,183.41600000003746,77.62600000006933,48
qm9_hf,29,full_no_expand,force_model,autograd::engine::evaluate_function: IndexBackward0,838.0250000000051,178.70900000003166,24.519000000011147,10
qm9_hf,29,full_no_expand,force_model,ampere_sgemm_128x128_nn,0.0,178.68800000000374,0.0,20
qm9_hf,29,full_no_expand,force_model,IndexBackward0,800.5529999999926,174.1340000000273,18.082999999965978,10
